Date,Close/Last,Volume,Open,High,Low
7/1/2020,$237.55 ,43399740,$228.50 ,$239 ,$227.56 
6/30/2020,$227.07 ,33927070,$220.59 ,$227.50 ,$218.47 
6/29/2020,$220.64 ,58514280,$209.75 ,$220.75 ,$207.11 
6/26/2020,$216.08 ,76343940,$232.64 ,$233.09 ,$215.40 
6/25/2020,$235.68 ,18704340,$234.62 ,$237.30 ,$232.74 
6/24/2020,$234.02 ,20834900,$241.20 ,$243.22 ,$232.68 
6/23/2020,$242.24 ,24017920,$241.28 ,$245.19 ,$239.86 
6/22/2020,$239.22 ,18917780,$238.56 ,$240.70 ,$236.91 
6/19/2020,$238.79 ,30081290,$237.79 ,$240.83 ,$235.55 
6/18/2020,$235.94 ,15782450,$234.99 ,$236.14 ,$232.15 
6/17/2020,$235.53 ,19578130,$235 ,$237.59 ,$231.73 
6/16/2020,$235.65 ,15236690,$237.14 ,$238.46 ,$233 
6/15/2020,$232.50 ,15340260,$225.09 ,$233.77 ,$224.80 
6/12/2020,$228.58 ,22091390,$229.90 ,$231.66 ,$224.50 
6/11/2020,$224.43 ,26708160,$229.94 ,$232.89 ,$223.55 
6/10/2020,$236.73 ,20720710,$240.96 ,$241.21 ,$235.28 
6/9/2020,$238.67 ,27462870,$231.52 ,$239.77 ,$230.41 
6/8/2020,$231.40 ,15466500,$229.03 ,$231.55 ,$227.41 
6/5/2020,$230.77 ,16750440,$226.71 ,$231.35 ,$225.31 
6/4/2020,$226.29 ,17041480,$229.56 ,$231.63 ,$224.61 
6/3/2020,$230.16 ,15380280,$232.11 ,$232.65 ,$228.53 
6/2/2020,$232.72 ,20919020,$230.94 ,$233 ,$226.56 
6/1/2020,$231.91 ,18223840,$224.59 ,$232.44 ,$223.50 
5/29/2020,$225.09 ,23322480,$225.20 ,$227.49 ,$222.88 
5/28/2020,$225.46 ,29423010,$224.30 ,$231.63 ,$224 
5/27/2020,$229.14 ,34697550,$229.07 ,$230.56 ,$221.13 
5/26/2020,$232.20 ,33178320,$239.77 ,$240.90 ,$231.67 
5/22/2020,$234.91 ,33925560,$231.51 ,$235.99 ,$228.74 
5/21/2020,$231.39 ,47782640,$234.72 ,$237.20 ,$231.20 
5/20/2020,$229.97 ,50162880,$223.50 ,$231.34 ,$223.19 
5/19/2020,$216.88 ,31843150,$213.27 ,$220.49 ,$212.83 
5/18/2020,$213.19 ,20167440,$212.15 ,$214.64 ,$210.94 
5/15/2020,$210.88 ,19383150,$205.27 ,$211.34 ,$204.12 
5/14/2020,$206.81 ,17178950,$202.56 ,$206.93 ,$200.69 
5/13/2020,$205.10 ,20684560,$209.43 ,$210.78 ,$202.11 
5/12/2020,$210.10 ,14704650,$213.29 ,$215.28 ,$210 
5/11/2020,$213.18 ,12911950,$210.89 ,$215 ,$210.37 
5/8/2020,$212.35 ,12524050,$212.24 ,$213.21 ,$210.85 
5/7/2020,$211.26 ,15151980,$211.16 ,$211.60 ,$209.04 
5/6/2020,$208.47 ,21856960,$208.12 ,$211.60 ,$206.66 
5/5/2020,$207.07 ,21071220,$207.02 ,$210.38 ,$206.50 
5/4/2020,$205.26 ,19250670,$200.20 ,$205.91 ,$198.76 
5/1/2020,$202.27 ,30415580,$201.60 ,$207.28 ,$199.05 
4/30/2020,$204.71 ,46230120,$206.92 ,$209.69 ,$201.57 
4/29/2020,$194.19 ,45954520,$190.93 ,$196.91 ,$190 
4/28/2020,$182.91 ,21730990,$188.66 ,$189.20 ,$182.56 
4/27/2020,$187.50 ,29197750,$192.66 ,$193.75 ,$187.41 
4/24/2020,$190.07 ,28868530,$183.23 ,$190.41 ,$180.83 
4/23/2020,$185.13 ,21426600,$184.08 ,$187.05 ,$183.15 
4/22/2020,$182.28 ,33369930,$178.45 ,$184.78 ,$178.14 
4/21/2020,$170.80 ,24850530,$175.25 ,$175.38 ,$168.34 
4/20/2020,$178.24 ,16110580,$177.41 ,$180.50 ,$176.77 
4/17/2020,$179.24 ,20974750,$179.20 ,$180.28 ,$176.66 
4/16/2020,$176.25 ,23593230,$177.95 ,$178.05 ,$172.51 
4/15/2020,$176.97 ,17423000,$175.19 ,$178.19 ,$172.82 
4/14/2020,$178.17 ,21011820,$178.98 ,$181.23 ,$176.62 
4/13/2020,$174.79 ,19355360,$173.67 ,$175 ,$169.45 
4/9/2020,$175.19 ,23534290,$175.90 ,$177.08 ,$171.57 
4/8/2020,$174.28 ,21664200,$171.25 ,$175 ,$167.74 
4/7/2020,$168.83 ,31411920,$171.79 ,$173.39 ,$166.01 
4/6/2020,$165.55 ,28453580,$160.15 ,$166.20 ,$158.51 
4/3/2020,$154.18 ,25983320,$157.15 ,$157.91 ,$150.83 
4/2/2020,$158.19 ,20886310,$159.10 ,$161.35 ,$155.92 
4/1/2020,$159.60 ,19507560,$161.62 ,$164.15 ,$158.04 
3/31/2020,$166.80 ,23676280,$165.48 ,$170.93 ,$164.20 
3/30/2020,$165.95 ,22515230,$159.18 ,$166.75 ,$158.06 
3/27/2020,$156.79 ,24879870,$158.20 ,$160.09 ,$154.75 
3/26/2020,$163.34 ,26579020,$158.25 ,$164 ,$157.02 
3/25/2020,$156.21 ,35184270,$158.92 ,$162.99 ,$153.06 
3/24/2020,$160.98 ,30440370,$155.21 ,$161.31 ,$152.57 
3/23/2020,$148.10 ,29830770,$149.66 ,$152.31 ,$142.25 
3/20/2020,$149.73 ,32568400,$156.02 ,$159.27 ,$148 
3/19/2020,$153.13 ,39862310,$146.62 ,$159.93 ,$144.80 
3/18/2020,$146.96 ,37553140,$139.75 ,$148.18 ,$137.10 
3/17/2020,$149.42 ,34255600,$150.74 ,$153.94 ,$140 
