Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1 (city),Location 1,Location 2,Location 1 (state)
NEVADA,2014,1,,-,0,,2,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-117.07183978499972 39.49324126500045),,NEVADA
MASSACHUSETTS,2014,1,,-,37,,437,,,-,21,,,-,1,,4,,,-,2,,,-,0,,3,,,-,1,,,POINT (-72.08268985899963 42.27687306500047),,MASSACHUSETTS
KENTUCKY,2014,1,,-,0,,9,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-84.77496612599964 37.645973909000475),,KENTUCKY
OHIO,2014,1,,-,1,,7,,,-,,-,1,,0,,3,,1,,,-,,-,0,,2,,,-,,-,,POINT (-82.40425685299965 40.06021029700048),,OHIO
IOWA,2014,1,,-,2,,27,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-93.81648936699969 42.469404401000475),,IOWA
GEORGIA,2014,1,,-,0,,4,,,-,,-,,-,1,,5,,,-,,-,,-,0,,2,,,-,,-,,POINT (-83.62757601199968 32.83968004200045),,GEORGIA
WASHINGTON,2014,1,,-,0,,2,,,-,,-,,-,0,,3,,,-,,-,,-,0,,5,,,-,,-,,POINT (-120.47002746299972 47.522287905000496),,WASHINGTON
NEBRASKA,2014,1,,-,0,,2,,,-,,-,1,,0,,2,,1,,1,,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA
TENNESSEE,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,,-,1,,0,,1,,1,,,-,,POINT (-85.77448642199965 35.680943063000484),,TENNESSEE
VERMONT,2014,1,,-,7,,92,,,-,3,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-72.51763944499965 43.62538292400046),,VERMONT
IDAHO,2014,1,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),,IDAHO
OKLAHOMA,2014,1,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA
WISCONSIN,2014,1,,-,12,,177,,,-,8,,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-89.81636715299965 44.3931903350005),,WISCONSIN
PUERTO RICO,2014,1,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,POINT (-98.34556876399967 26.649497232000442),,PUERTO RICO
HAWAII,2014,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-157.85774691599974 21.30485166200043),,HAWAII
MONTANA,2014,1,,-,0,,3,,,-,,-,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,POINT (-109.42441687999968 47.066526051000494),,MONTANA
NEW HAMPSHIRE,2014,1,,-,6,,91,,,-,7,,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,POINT (-71.50035726399966 43.6559537330005),,NEW HAMPSHIRE
FLORIDA,2014,1,1,,2,,14,,1,,1,,1,,1,,3,,1,,1,,3,,1,,3,,3,,1,,,POINT (-81.92895558499964 28.932042899000464),,FLORIDA
C.N.M.I.,2014,1,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,C.N.M.I.
MICHIGAN,2014,1,1,,2,,15,,1,,,-,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN
ARKANSAS,2014,1,,-,0,,0,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-92.27448794899965 34.748651751000466),,ARKANSAS
MINNESOTA,2014,1,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,2,,,-,1,,,POINT (-94.79419697699967 46.35564867700049),,MINNESOTA
ALASKA,2014,1,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),,ALASKA
ARIZONA,2014,1,,-,0,,3,,,-,,-,,-,0,,3,,,-,1,,,-,0,,3,,,-,,-,,POINT (-111.76380949799972 34.865973091000455),,ARIZONA
DIST. OF COL.,2014,1,,N,0,,0,,,N,,N,,-,0,,1,,,-,1,,,-,0,,1,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.
NORTH CAROLINA,2014,1,,-,0,,32,,,-,,-,,-,0,,6,,,-,,-,2,,0,,2,,2,,,-,,POINT (-79.15924924699965 35.46622388600048),,NORTH CAROLINA
UNITED STATES,2014,2,16,,337,,2162,,47,,443,,8,,24,,49,,17,,28,,4,,9,,21,,15,,28,,,,,
NEW ENGLAND,2014,2,,-,116,,878,,,-,119,,,-,2,,8,,1,,3,,,-,0,,3,,,-,2,,,,,
MID. ATLANTIC,2014,2,14,,172,,1004,,40,,223,,,-,8,,21,,1,,4,,,-,1,,7,,,-,2,,,,,
E.N. CENTRAL,2014,2,1,,16,,217,,2,,10,,2,,2,,8,,3,,3,,,-,0,,4,,,-,2,,,,,
W.N. CENTRAL,2014,2,,-,3,,31,,,-,,-,,-,0,,3,,3,,3,,,-,0,,3,,1,,4,,,,,
S. ATLANTIC,2014,2,1,,36,,116,,4,,86,,,-,5,,16,,3,,6,,1,,2,,6,,6,,6,,,,,
E.S. CENTRAL,2014,2,,-,1,,9,,1,,1,,1,,0,,4,,1,,3,,,-,0,,2,,1,,2,,,,,
W.S. CENTRAL,2014,2,,-,1,,5,,,-,,-,,-,1,,7,,,-,1,,,-,1,,3,,1,,,-,,,,
MOUNTAIN,2014,2,,-,2,,9,,,-,,-,,-,1,,6,,,-,3,,,-,0,,4,,,-,,-,,,,
PACIFIC,2014,2,,-,2,,8,,,-,4,,5,,2,,8,,5,,2,,3,,2,,8,,6,,10,,,,,
ALASKA,2014,2,,-,0,,4,,,-,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507923900048),,ALASKA
IDAHO,2014,2,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-114.3637261449997 43.682630058000484),,IDAHO
DIST. OF COL.,2014,2,,N,0,,0,,,N,,N,,-,0,,2,,,-,1,,,-,0,,1,,,-,,-,,POINT (-99.11415045099966 39.52368635500045),,DIST. OF COL.
TEXAS,2014,2,,-,1,,5,,,-,,-,,-,1,,5,,,-,,-,,-,0,,3,,,-,,-,,POINT (-99.4267664729997 31.827243635000457),,TEXAS
ALABAMA,2014,2,,-,0,,3,,,-,1,,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-86.63185803899967 32.84057327200048),,ALABAMA
MICHIGAN,2014,2,1,,2,,15,,2,,,-,1,,0,,2,,1,,1,,,-,0,,1,,,-,,-,,POINT (-84.71438724399968 44.66131575600048),,MICHIGAN
LOUISIANA,2014,2,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,,POINT (-92.44567554599968 31.312662564000448),,LOUISIANA
SOUTH DAKOTA,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,1,,,-,,-,,POINT (-100.37352811899967 44.35313342000046),,SOUTH DAKOTA
OKLAHOMA,2014,2,,-,0,,1,,,-,,-,,-,0,,3,,,-,,-,,-,0,,2,,,-,,-,,POINT (-97.52106845499969 35.472034350000456),,OKLAHOMA
WEST VIRGINIA,2014,2,1,,2,,19,,2,,,-,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,POINT (-80.71263935099967 38.665511497000466),,WEST VIRGINIA
AMER. SAMOA,2014,44,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,AMER. SAMOA
NEBRASKA,2014,2,,-,0,,2,,,-,,-,,-,0,,2,,1,,1,,,-,0,,1,,,-,,-,,POINT (-99.36571864599966 41.64104043900045),,NEBRASKA
COLORADO,2014,2,,-,0,,0,,,-,,-,,-,0,,2,,,-,,-,,-,0,,1,,,-,,-,,POINT (-106.13360888799969 38.84384047000049),,COLORADO
