Reporting Area,MMWR Year,MMWR Week,"Lyme disease, Current week","Lyme disease, Current week, flag","Lyme disease, Previous 52 weeks Med","Lyme disease, Previous 52 weeks Med, flag","Lyme disease, Previous 52 weeks Max","Lyme disease, Previous 52 weeks Max, flag","Lyme disease, Cum 2014","Lyme disease, Cum 2014, flag","Lyme disease, Cum 2013","Lyme disease, Cum 2013, flag","Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Med","Malaria, Previous 52 weeks Med, flag","Malaria, Previous 52 weeks Max","Malaria, Previous 52 weeks Max, flag","Malaria, Cum 2014","Malaria, Cum 2014, flag","Malaria, Cum 2013","Malaria, Cum 2013, flag","Meningococcal disease, invasive†, All serogroups, Current week","Meningococcal disease, invasive†, All serogroups, Current week, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Med, flag","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max","Meningococcal disease, invasive†, All serogroups, Previous 52 weeks Max, flag","Meningococcal disease, invasive†, All serogroups, Cum 2014","Meningococcal disease, invasive†, All serogroups, Cum 2014, flag","Meningococcal disease, invasive†, All serogroups, Cum 2013","Meningococcal disease, invasive†, All serogroups, Cum 2013, flag",Location 1 (city),Location 1,Location 2,Location 1 (state)
RHODE ISLAND,2014,29,30,,9,,54,,219,,228,,3,,0,,8,,6,,,-,,-,0,,1,,1,,1,,,POINT (-71.52246918099962 41.708284362000484),,RHODE ISLAND
IDAHO,2014,29,,-,0,,1,,6,,9,,,-,0,,1,,1,,3,,,-,0,,1,,2,,4,,,POINT (-114.3637261449997 43.68263160000049),,IDAHO
MARYLAND,2014,29,21,,16,,81,,363,,615,,2,,3,,10,,86,,75,,,-,0,,1,,4,,3,,,POINT (-76.60925970899967 39.29058224000045),,MARYLAND
TEXAS,2014,29,,-,0,,11,,6,,36,,8,,1,,19,,31,,40,,,-,0,,5,,13,,18,,,POINT (-99.4267664729997 31.827240712000446),,TEXAS
NEVADA,2014,29,,-,0,,1,,3,,4,,,-,0,,1,,4,,4,,,-,0,,1,,2,,1,,,POINT (-117.07183978499972 39.493242807000456),,NEVADA
MAINE,2014,29,2,,14,,102,,246,,500,,,-,0,,2,,4,,3,,,-,0,,1,,,-,2,,,POINT (-68.98502952999962 45.2542257390005),,MAINE
NEW HAMPSHIRE,2014,29,,-,5,,157,,83,,1039,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,,POINT (-71.50035726399966 43.65595081000049),,NEW HAMPSHIRE
COLORADO,2014,29,,-,0,,0,,,-,,-,,-,0,,3,,6,,19,,,-,0,,1,,1,,5,,,POINT (-106.13360888799969 38.84384201300048),,COLORADO
NEW JERSEY,2014,29,,-,42,,228,,874,,2188,,,-,1,,6,,32,,54,,,-,0,,2,,4,,10,,,POINT (-74.27368565099965 40.13057159500045),,NEW JERSEY
ILLINOIS,2014,29,,-,1,,27,,58,,218,,,-,1,,5,,16,,40,,,-,0,,2,,9,,6,,,POINT (-88.99770813999965 40.48501433000047),,ILLINOIS
VERMONT,2014,29,4,,10,,103,,172,,296,,,-,0,,1,,,-,3,,,-,0,,1,,,-,3,,,POINT (-72.51763944499965 43.62538000100045),,VERMONT
ALABAMA,2014,29,,-,0,,5,,29,,11,,,-,0,,1,,6,,2,,,-,0,,1,,3,,1,,,POINT (-86.63185803899967 32.84057034900047),,ALABAMA
UTAH,2014,29,,-,0,,2,,2,,12,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,,POINT (-111.5871285339997 39.36070082200047),,UTAH
ALASKA,2014,29,2,,0,,2,,11,,5,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507631500048),,ALASKA
DELAWARE,2014,29,6,,8,,24,,206,,255,,,-,0,,1,,2,,5,,,-,0,,1,,1,,2,,,POINT (-75.57773943699965 39.00883059000046),,DELAWARE
NEW MEXICO,2014,29,,-,0,,3,,,-,3,,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,,POINT (-106.24057768899968 34.520884020000494),,NEW MEXICO
GEORGIA,2014,29,,-,0,,3,,3,,5,,,-,1,,5,,39,,37,,,-,0,,2,,10,,7,,,POINT (-83.62757601199968 32.83968158500045),,GEORGIA
LOUISIANA,2014,29,,-,0,,1,,1,,,-,,-,0,,1,,2,,4,,,-,0,,2,,4,,8,,,POINT (-92.44567554599968 31.312664106000454),,LOUISIANA
MONTANA,2014,29,1,,0,,3,,4,,9,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,POINT (-109.42441687999968 47.06652759400049),,MONTANA
MICHIGAN,2014,29,1,,2,,16,,29,,46,,,-,0,,2,,10,,11,,,-,0,,1,,6,,3,,,POINT (-84.71438724399968 44.66132176400049),,MICHIGAN
NEW YORK CITY,2014,29,3,,4,,441,,489,,302,,9,,3,,13,,86,,73,,,-,0,,2,,8,,11,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
INDIANA,2014,29,,-,0,,7,,,-,81,,,-,0,,2,,4,,11,,,-,0,,1,,3,,12,,,POINT (-86.14995579899966 39.76691072200049),,INDIANA
NEW YORK,2014,29,147,,49,,244,,1122,,1008,,2,,1,,5,,27,,27,,,-,0,,3,,5,,14,,,POINT (-75.54396639699968 42.82700178100049),,NEW YORK
HAWAII,2014,29,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,,POINT (-157.85774691599974 21.304853205000427),,HAWAII
MINNESOTA,2014,31,,-,0,,151,,3,,1513,,,-,0,,5,,2,,39,,,-,0,,2,,4,,9,,,,,MINNESOTA
NORTH CAROLINA,2014,29,,-,1,,27,,43,,63,,,-,0,,7,,19,,14,,,-,0,,3,,11,,9,,,POINT (-79.15924924699965 35.46622096200048),,NORTH CAROLINA
TENNESSEE,2014,29,,-,0,,4,,14,,7,,,-,0,,3,,9,,12,,,-,0,,1,,4,,3,,,POINT (-85.77448642199965 35.68094014000047),,TENNESSEE
WYOMING,2014,29,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-108.10982744299969 43.235543013000495),,WYOMING
CALIFORNIA,2014,29,,-,0,,8,,4,,59,,3,,2,,5,,33,,47,,,-,1,,5,,40,,68,,,POINT (-120.99999889499969 37.63864203100047),,CALIFORNIA
MINNESOTA,2014,29,,-,0,,206,,3,,1204,,,-,0,,5,,2,,36,,,-,0,,2,,4,,9,,,POINT (-94.79419697699967 46.35564575300049),,MINNESOTA
VIRGINIA,2014,29,13,,14,,267,,280,,438,,2,,1,,5,,39,,41,,,-,0,,2,,5,,4,,,POINT (-78.45788924199968 37.542682294000485),,VIRGINIA
GUAM,2014,29,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,POINT (144.73149801400064 13.480998894000436),,GUAM
CONNECTICUT,2014,29,,-,24,,252,,565,,1818,,,-,0,,1,,,-,16,,,-,0,,1,,1,,2,,,POINT (-72.64983753699966 41.56266101800048),,CONNECTICUT
KENTUCKY,2014,29,,-,1,,9,,26,,13,,,-,0,,2,,8,,7,,,-,0,,1,,2,,1,,,POINT (-84.77496612599964 37.645970985000474),,KENTUCKY
WASHINGTON,2014,29,,-,0,,4,,,-,5,,,-,0,,3,,16,,11,,,-,0,,5,,8,,8,,,POINT (-120.47002746299972 47.5222894470005),,WASHINGTON
NEBRASKA,2014,29,,-,0,,3,,3,,1,,,-,0,,1,,1,,3,,,-,0,,1,,,-,3,,,POINT (-99.36571864599966 41.641041981000456),,NEBRASKA
MISSISSIPPI,2014,29,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,1,,3,,,POINT (-89.53802764499966 32.745512774000474),,MISSISSIPPI
PENNSYLVANIA,2014,29,190,,61,,433,,2726,,2588,,1,,1,,4,,26,,39,,,-,0,,2,,7,,16,,,POINT (-77.86069775999965 40.79373260300048),,PENNSYLVANIA
OKLAHOMA,2014,29,,-,0,,2,,,-,1,,1,,0,,2,,2,,7,,,-,0,,2,,7,,5,,,POINT (-97.52106845499969 35.472031425000466),,OKLAHOMA
MISSOURI,2014,29,,-,0,,1,,4,,,-,,-,0,,1,,9,,1,,,-,0,,2,,7,,6,,,POINT (-92.56629737199967 38.63579079900046),,MISSOURI
OHIO,2014,29,,-,1,,7,,31,,42,,3,,1,,3,,24,,14,,,-,0,,2,,6,,6,,,POINT (-82.40425685299965 40.06021184000048),,OHIO
FLORIDA,2014,29,2,,2,,14,,38,,41,,,-,1,,3,,27,,31,,,-,1,,3,,27,,34,,,POINT (-81.92895558499964 28.93204444200046),,FLORIDA
NORTH DAKOTA,2014,29,,-,0,,4,,4,,13,,,-,0,,1,,5,,2,,,-,0,,1,,1,,3,,,POINT (-100.11842599699969 47.47531892900048),,NORTH DAKOTA
KANSAS,2014,29,,-,0,,4,,4,,17,,,-,0,,2,,8,,6,,,-,0,,1,,1,,3,,,POINT (-98.20077655499966 38.3477418760005),,KANSAS
PUERTO RICO,2014,29,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,,POINT (-66.49988980099965 18.24828934900046),,PUERTO RICO
SOUTH CAROLINA,2014,29,,-,1,,5,,12,,11,,,-,0,,1,,2,,6,,,-,0,,1,,2,,2,,,POINT (-81.04536765699964 33.99882214300044),,SOUTH CAROLINA
WISCONSIN,2014,29,1,,15,,156,,333,,1087,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,,POINT (-89.81636715299965 44.393191877000504),,WISCONSIN
ARIZONA,2014,29,,-,0,,3,,4,,8,,,-,0,,3,,8,,21,,,-,0,,2,,3,,10,,,POINT (-111.76380949799972 34.865970167000455),,ARIZONA
WEST VIRGINIA,2014,29,7,,1,,23,,36,,80,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,,POINT (-80.71263935099967 38.66551303900047),,WEST VIRGINIA
OREGON,2014,29,,-,1,,4,,35,,23,,,-,0,,1,,7,,5,,,-,0,,3,,12,,9,,,POINT (-120.15502977999972 44.56745218600048),,OREGON
UNITED STATES,2014,30,500,,420,,2007,,11134,,19782,,13,,25,,51,,694,,850,,1,,8,,24,,251,,362,,,,,
NEW ENGLAND,2014,30,56,,128,,705,,3230,,7712,,1,,1,,8,,38,,72,,,-,0,,3,,9,,15,,,,,
MID. ATLANTIC,2014,30,362,,179,,874,,5975,,6960,,5,,8,,21,,186,,201,,,-,1,,3,,24,,53,,,,,
E.N. CENTRAL,2014,30,6,,18,,149,,550,,1623,,,-,2,,8,,58,,90,,,-,1,,4,,30,,37,,,,,
W.N. CENTRAL,2014,30,,-,7,,167,,97,,1586,,,-,1,,7,,33,,58,,,-,0,,3,,16,,29,,,,,
S. ATLANTIC,2014,30,70,,46,,309,,1124,,1678,,4,,7,,18,,232,,230,,,-,1,,6,,60,,67,,,,,
DIST. OF COL.,2014,30,,N,0,,0,,,N,,N,,-,0,,2,,3,,11,,,-,0,,0,,,-,,-,,,,DIST. OF COL.
E.S. CENTRAL,2014,30,3,,2,,10,,75,,36,,2,,1,,4,,26,,22,,,-,0,,2,,10,,8,,,,,
W.S. CENTRAL,2014,30,1,,0,,13,,8,,41,,1,,1,,21,,40,,55,,,-,1,,6,,26,,37,,,,,
MOUNTAIN,2014,30,1,,1,,7,,22,,50,,,-,1,,4,,24,,53,,,-,0,,2,,14,,28,,,,,
PACIFIC,2014,30,1,,2,,10,,53,,96,,,-,3,,9,,57,,69,,1,,2,,7,,62,,88,,,,,
AMER. SAMOA,2014,30,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,AMER. SAMOA
C.N.M.I.,2014,30,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,,,C.N.M.I.
VIRGIN ISL.,2014,30,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,,,VIRGIN ISL.
MARYLAND,2014,30,25,,16,,81,,431,,696,,,-,3,,10,,87,,81,,,-,0,,1,,4,,3,,,POINT (-76.60925970899967 39.29058224000045),,MARYLAND
OREGON,2014,30,1,,1,,4,,37,,25,,,-,0,,1,,7,,5,,1,,0,,3,,13,,9,,,POINT (-120.15502977999972 44.56745218600048),,OREGON
LOUISIANA,2014,30,,-,0,,1,,1,,,-,,-,0,,1,,3,,5,,,-,0,,2,,5,,8,,,POINT (-92.44567554599968 31.312664106000454),,LOUISIANA
RHODE ISLAND,2014,30,28,,9,,54,,269,,237,,,-,0,,8,,6,,,-,,-,0,,1,,1,,1,,,POINT (-71.52246918099962 41.708284362000484),,RHODE ISLAND
ALABAMA,2014,30,1,,0,,6,,31,,12,,,-,0,,1,,6,,2,,,-,0,,1,,3,,1,,,POINT (-86.63185803899967 32.84057034900047),,ALABAMA
OHIO,2014,30,5,,1,,7,,37,,48,,,-,1,,3,,24,,16,,,-,0,,2,,6,,6,,,POINT (-82.40425685299965 40.06021184000048),,OHIO
MISSOURI,2014,30,,-,0,,1,,4,,,-,,-,0,,1,,9,,1,,,-,0,,2,,7,,6,,,POINT (-92.56629737199967 38.63579079900046),,MISSOURI
WEST VIRGINIA,2014,30,3,,1,,8,,44,,87,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,,POINT (-80.71263935099967 38.66551303900047),,WEST VIRGINIA
NEW YORK,2014,30,186,,49,,244,,1311,,1231,,3,,1,,5,,30,,28,,,-,0,,3,,5,,14,,,POINT (-75.54396639699968 42.82700178100049),,NEW YORK
NEBRASKA,2014,30,,-,0,,3,,3,,4,,,-,0,,1,,1,,3,,,-,0,,1,,,-,3,,,POINT (-99.36571864599966 41.641041981000456),,NEBRASKA
FLORIDA,2014,30,4,,2,,14,,42,,46,,2,,1,,3,,29,,32,,,-,1,,3,,27,,35,,,POINT (-81.92895558499964 28.93204444200046),,FLORIDA
SOUTH CAROLINA,2014,30,,-,1,,5,,14,,12,,,-,0,,1,,2,,7,,,-,0,,1,,2,,2,,,POINT (-81.04536765699964 33.99882214300044),,SOUTH CAROLINA
PUERTO RICO,2014,30,,N,0,,0,,,N,,N,,-,0,,1,,1,,,-,,-,0,,1,,1,,1,,,POINT (-66.49988980099965 18.24828934900046),,PUERTO RICO
ALASKA,2014,30,,-,0,,3,,12,,5,,,-,0,,1,,1,,2,,,-,0,,0,,,-,,-,,POINT (-147.72205669099972 64.84507631500048),,ALASKA
SOUTH DAKOTA,2014,30,,-,0,,1,,,-,3,,,-,0,,3,,2,,5,,,-,0,,1,,2,,4,,,POINT (-100.37352811899967 44.35313049600046),,SOUTH DAKOTA
TENNESSEE,2014,30,1,,0,,4,,17,,9,,2,,0,,1,,11,,12,,,-,0,,1,,4,,3,,,POINT (-85.77448642199965 35.68094014000047),,TENNESSEE
COLORADO,2014,30,,-,0,,0,,,-,,-,,-,0,,3,,6,,19,,,-,0,,1,,1,,5,,,POINT (-106.13360888799969 38.84384201300048),,COLORADO
MISSISSIPPI,2014,30,,-,0,,0,,,-,,-,,-,0,,1,,1,,1,,,-,0,,1,,1,,3,,,POINT (-89.53802764499966 32.745512774000474),,MISSISSIPPI
NEVADA,2014,30,,-,0,,1,,3,,4,,,-,0,,1,,5,,5,,,-,0,,1,,2,,1,,,POINT (-117.07183978499972 39.493242807000456),,NEVADA
OKLAHOMA,2014,30,,-,0,,2,,,-,1,,,-,0,,2,,2,,7,,,-,0,,2,,7,,5,,,POINT (-97.52106845499969 35.472031425000466),,OKLAHOMA
MINNESOTA,2014,30,,-,0,,158,,3,,1362,,,-,0,,5,,2,,37,,,-,0,,2,,4,,9,,,POINT (-94.79419697699967 46.35564575300049),,MINNESOTA
CALIFORNIA,2014,30,,-,0,,8,,4,,61,,,-,2,,5,,33,,49,,,-,1,,5,,40,,70,,,POINT (-120.99999889499969 37.63864203100047),,CALIFORNIA
NORTH CAROLINA,2014,30,,-,0,,27,,43,,72,,,-,0,,7,,19,,14,,,-,0,,3,,11,,10,,,POINT (-79.15924924699965 35.46622096200048),,NORTH CAROLINA
VIRGINIA,2014,30,32,,13,,267,,319,,484,,2,,1,,5,,41,,41,,,-,0,,2,,5,,5,,,POINT (-78.45788924199968 37.542682294000485),,VIRGINIA
TEXAS,2014,30,1,,0,,11,,7,,40,,1,,1,,19,,33,,42,,,-,0,,5,,13,,19,,,POINT (-99.4267664729997 31.827240712000446),,TEXAS
VERMONT,2014,30,13,,10,,103,,216,,355,,1,,0,,1,,1,,3,,,-,0,,1,,,-,3,,,POINT (-72.51763944499965 43.62538000100045),,VERMONT
ARIZONA,2014,30,,-,0,,3,,4,,9,,,-,0,,3,,9,,22,,,-,0,,2,,3,,10,,,POINT (-111.76380949799972 34.865970167000455),,ARIZONA
CONNECTICUT,2014,30,3,,26,,146,,714,,1964,,,-,0,,1,,,-,16,,,-,0,,1,,1,,2,,,POINT (-72.64983753699966 41.56266101800048),,CONNECTICUT
HAWAII,2014,30,,N,0,,0,,,N,,N,,-,0,,0,,,-,1,,,-,0,,1,,1,,1,,,POINT (-157.85774691599974 21.304853205000427),,HAWAII
IOWA,2014,30,,-,1,,12,,78,,187,,,-,0,,2,,6,,4,,,-,0,,1,,1,,1,,,POINT (-93.81648936699969 42.469401477000474),,IOWA
DELAWARE,2014,30,6,,8,,24,,228,,276,,,-,0,,1,,2,,5,,,-,0,,1,,1,,2,,,POINT (-75.57773943699965 39.00883059000046),,DELAWARE
NEW JERSEY,2014,30,,-,42,,174,,985,,2361,,,-,1,,6,,35,,55,,,-,0,,2,,4,,10,,,POINT (-74.27368565099965 40.13057159500045),,NEW JERSEY
NORTH DAKOTA,2014,30,,-,0,,4,,5,,13,,,-,0,,1,,5,,2,,,-,0,,1,,1,,3,,,POINT (-100.11842599699969 47.47531892900048),,NORTH DAKOTA
NEW MEXICO,2014,30,,-,0,,1,,,-,3,,,-,0,,1,,1,,,-,,-,0,,1,,2,,1,,,POINT (-106.24057768899968 34.520884020000494),,NEW MEXICO
WISCONSIN,2014,30,1,,14,,95,,406,,1182,,,-,0,,2,,4,,6,,,-,0,,1,,4,,10,,,POINT (-89.81636715299965 44.393191877000504),,WISCONSIN
NEW YORK CITY,2014,30,1,,3,,441,,490,,347,,1,,3,,13,,87,,78,,,-,0,,2,,8,,12,,,POINT (-74.00596858999967 40.71426755700048),,NEW YORK CITY
IDAHO,2014,30,,-,0,,1,,7,,10,,,-,0,,1,,1,,3,,,-,0,,1,,2,,4,,,POINT (-114.3637261449997 43.68263160000049),,IDAHO
UTAH,2014,30,,-,0,,2,,2,,12,,,-,0,,1,,1,,4,,,-,0,,1,,1,,6,,,POINT (-111.5871285339997 39.36070082200047),,UTAH
ILLINOIS,2014,30,,-,1,,27,,73,,245,,,-,1,,5,,16,,45,,,-,0,,2,,10,,6,,,POINT (-88.99770813999965 40.48501433000047),,ILLINOIS
ARKANSAS,2014,30,,-,0,,0,,,-,,-,,-,0,,1,,2,,1,,,-,0,,1,,1,,5,,,POINT (-92.27448794899965 34.74865329300047),,ARKANSAS
WYOMING,2014,30,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,,POINT (-108.10982744299969 43.235543013000495),,WYOMING
INDIANA,2014,30,,-,0,,5,,,-,86,,,-,0,,2,,4,,11,,,-,0,,1,,3,,12,,,POINT (-86.14995579899966 39.76691072200049),,INDIANA
KANSAS,2014,30,,-,0,,3,,4,,17,,,-,0,,2,,8,,6,,,-,0,,1,,1,,3,,,POINT (-98.20077655499966 38.3477418760005),,KANSAS
NEW HAMPSHIRE,2014,30,,-,8,,91,,203,,1113,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,,POINT (-71.50035726399966 43.65595081000049),,NEW HAMPSHIRE
GEORGIA,2014,30,,-,0,,3,,3,,5,,,-,1,,5,,47,,38,,,-,0,,2,,10,,8,,,POINT (-83.62757601199968 32.83968158500045),,GEORGIA
MONTANA,2014,30,1,,0,,2,,6,,11,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,POINT (-109.42441687999968 47.06652759400049),,MONTANA
MICHIGAN,2014,30,,-,2,,16,,34,,62,,,-,0,,2,,10,,12,,,-,0,,1,,7,,3,,,POINT (-84.71438724399968 44.66132176400049),,MICHIGAN
WASHINGTON,2014,30,,-,0,,4,,,-,5,,,-,0,,3,,16,,12,,,-,0,,5,,8,,8,,,POINT (-120.47002746299972 47.5222894470005),,WASHINGTON
KENTUCKY,2014,30,1,,0,,9,,27,,15,,,-,0,,2,,8,,7,,,-,0,,1,,2,,1,,,POINT (-84.77496612599964 37.645970985000474),,KENTUCKY
PENNSYLVANIA,2014,30,175,,61,,454,,3189,,3021,,1,,1,,4,,34,,40,,,-,0,,2,,7,,17,,,POINT (-77.86069775999965 40.79373260300048),,PENNSYLVANIA
MASSACHUSETTS,2014,30,12,,55,,245,,1543,,3441,,,-,1,,4,,25,,44,,,-,0,,3,,7,,5,,,POINT (-72.08268985899963 42.27687014100047),,MASSACHUSETTS
MAINE,2014,30,,-,15,,102,,285,,602,,,-,0,,2,,4,,3,,,-,0,,1,,,-,2,,,POINT (-68.98502952999962 45.2542257390005),,MAINE
GUAM,2014,30,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,1,,,POINT (144.73149801400064 13.480998894000436),,GUAM
UNITED STATES,2014,31,494,,423,,1963,,12252,,21745,,24,,25,,51,,743,,899,,4,,8,,24,,261,,372,,,,,
NEW ENGLAND,2014,31,27,,127,,705,,3377,,8417,,1,,1,,8,,39,,73,,,-,0,,3,,9,,15,,,,,
CONNECTICUT,2014,31,,-,24,,118,,714,,2077,,,-,0,,1,,,-,16,,,-,0,,1,,1,,2,,,,,CONNECTICUT
MAINE,2014,31,1,,15,,99,,303,,701,,,-,0,,2,,4,,3,,,-,0,,1,,,-,2,,,,,MAINE
MASSACHUSETTS,2014,31,,-,54,,245,,1543,,3686,,,-,1,,4,,25,,45,,,-,0,,3,,7,,5,,,,,MASSACHUSETTS
NEW HAMPSHIRE,2014,31,,-,9,,91,,244,,1204,,,-,0,,2,,2,,6,,,-,0,,0,,,-,2,,,,,NEW HAMPSHIRE
RHODE ISLAND,2014,31,21,,9,,55,,324,,291,,1,,0,,8,,7,,,-,,-,0,,1,,1,,1,,,,,RHODE ISLAND
VERMONT,2014,31,5,,10,,103,,249,,458,,,-,0,,1,,1,,3,,,-,0,,1,,,-,3,,,,,VERMONT
MID. ATLANTIC,2014,31,369,,179,,830,,6676,,7790,,9,,7,,21,,196,,207,,,-,1,,3,,24,,55,,,,,
NEW JERSEY,2014,31,,-,41,,174,,985,,2535,,,-,1,,6,,35,,56,,,-,0,,2,,4,,10,,,,,NEW JERSEY
NEW YORK,2014,31,164,,49,,244,,1478,,1475,,1,,1,,5,,31,,29,,,-,0,,3,,5,,14,,,,,NEW YORK
NEW YORK CITY,2014,31,4,,3,,441,,494,,395,,8,,3,,13,,95,,82,,,-,0,,2,,8,,14,,,,,NEW YORK CITY
PENNSYLVANIA,2014,31,201,,61,,498,,3719,,3385,,,-,1,,4,,35,,40,,,-,0,,2,,7,,17,,,,,PENNSYLVANIA
E.N. CENTRAL,2014,31,2,,19,,128,,628,,1751,,,-,2,,6,,62,,95,,,-,1,,4,,30,,38,,,,,
ILLINOIS,2014,31,,-,1,,16,,85,,261,,,-,1,,4,,20,,46,,,-,0,,2,,10,,7,,,,,ILLINOIS
MICHIGAN,2014,31,,-,2,,14,,37,,72,,,-,0,,2,,10,,12,,,-,0,,1,,7,,3,,,,,MICHIGAN
OHIO,2014,31,1,,1,,7,,39,,52,,,-,1,,3,,24,,17,,,-,0,,2,,6,,6,,,,,OHIO
WISCONSIN,2014,31,1,,14,,95,,464,,1277,,,-,0,,2,,4,,7,,,-,0,,1,,4,,10,,,,,WISCONSIN
W.N. CENTRAL,2014,31,,-,8,,162,,120,,1748,,1,,1,,7,,34,,61,,,-,0,,3,,16,,29,,,,,
IOWA,2014,31,,-,1,,12,,96,,195,,,-,0,,2,,6,,4,,,-,0,,1,,1,,1,,,,,IOWA
MISSOURI,2014,31,,-,0,,1,,5,,1,,1,,0,,1,,10,,1,,,-,0,,2,,7,,6,,,,,MISSOURI
NEBRASKA,2014,31,,-,0,,2,,3,,5,,,-,0,,1,,1,,3,,,-,0,,1,,,-,3,,,,,NEBRASKA
NORTH DAKOTA,2014,31,,-,0,,4,,7,,13,,,-,0,,1,,5,,2,,,-,0,,1,,1,,3,,,,,NORTH DAKOTA
SOUTH DAKOTA,2014,31,,-,0,,1,,,-,3,,,-,0,,1,,2,,5,,,-,0,,1,,2,,4,,,,,SOUTH DAKOTA
S. ATLANTIC,2014,31,89,,46,,309,,1278,,1799,,11,,7,,18,,253,,248,,2,,1,,6,,62,,68,,,,,
DELAWARE,2014,31,4,,8,,24,,241,,291,,,-,0,,1,,2,,6,,,-,0,,1,,1,,2,,,,,DELAWARE
DIST. OF COL.,2014,31,,N,0,,0,,,N,,N,,-,0,,2,,3,,12,,,-,0,,0,,,-,,-,,,,DIST. OF COL.
FLORIDA,2014,31,5,,2,,14,,48,,60,,1,,1,,3,,30,,32,,2,,1,,3,,29,,35,,,,,FLORIDA
GEORGIA,2014,31,,-,0,,3,,3,,6,,1,,1,,5,,52,,43,,,-,0,,2,,10,,9,,,,,GEORGIA
MARYLAND,2014,31,12,,16,,47,,466,,736,,2,,2,,10,,93,,87,,,-,0,,1,,4,,3,,,,,MARYLAND
NORTH CAROLINA,2014,31,21,,0,,27,,64,,80,,6,,0,,7,,25,,14,,,-,0,,3,,11,,10,,,,,NORTH CAROLINA
VIRGINIA,2014,31,45,,14,,267,,386,,523,,1,,1,,5,,44,,46,,,-,0,,2,,5,,5,,,,,VIRGINIA
WEST VIRGINIA,2014,31,2,,1,,11,,56,,91,,,-,0,,1,,2,,1,,,-,0,,0,,,-,2,,,,,WEST VIRGINIA
E.S. CENTRAL,2014,31,4,,2,,10,,84,,38,,,-,1,,4,,26,,24,,,-,0,,2,,10,,8,,,,,
ALABAMA,2014,31,,-,0,,6,,32,,14,,,-,0,,1,,6,,2,,,-,0,,1,,3,,1,,,,,ALABAMA
KENTUCKY,2014,31,2,,0,,9,,31,,15,,,-,0,,2,,8,,8,,,-,0,,1,,2,,1,,,,,KENTUCKY
MISSISSIPPI,2014,31,,-,0,,0,,,-,,-,,-,0,,1,,1,,2,,,-,0,,1,,1,,3,,,,,MISSISSIPPI
TENNESSEE,2014,31,2,,0,,4,,21,,9,,,-,0,,2,,11,,12,,,-,0,,1,,4,,3,,,,,TENNESSEE
W.S. CENTRAL,2014,31,,-,0,,13,,9,,41,,1,,1,,21,,45,,58,,,-,1,,6,,27,,37,,,,,
LOUISIANA,2014,31,,-,0,,1,,1,,,-,,-,0,,1,,5,,5,,,-,0,,2,,5,,8,,,,,LOUISIANA
TEXAS,2014,31,,-,0,,11,,8,,40,,1,,1,,19,,36,,45,,,-,0,,5,,14,,19,,,,,TEXAS
MOUNTAIN,2014,31,1,,1,,7,,23,,57,,,-,1,,4,,25,,57,,,-,0,,2,,19,,29,,,,,
ARIZONA,2014,31,,-,0,,3,,5,,12,,,-,0,,3,,9,,23,,,-,0,,2,,8,,10,,,,,ARIZONA
COLORADO,2014,31,,-,0,,0,,,-,,-,,-,0,,3,,6,,20,,,-,0,,1,,1,,5,,,,,COLORADO
IDAHO,2014,31,1,,0,,1,,7,,10,,,-,0,,1,,1,,3,,,-,0,,1,,2,,4,,,,,IDAHO
MONTANA,2014,31,,-,0,,2,,6,,11,,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,,,MONTANA
NEVADA,2014,31,,-,0,,1,,3,,5,,,-,0,,2,,6,,5,,,-,0,,1,,2,,1,,,,,NEVADA
