index,fips,year,temp,tempc
293,5,1938,62.625,17.01388889
294,5,1939,61.975,16.65277778
295,5,1940,58.6,14.77777778
296,5,1941,61.24166667,16.24537037
297,5,1942,60.35833333,15.75462963
298,5,1943,61.06666667,16.14814815
299,5,1944,61.05833333,16.14351852
300,5,1945,60.29166667,15.71759259
301,5,1946,61.95833333,16.64351852
302,5,1947,60.2,15.66666667
303,5,1948,59.91666667,15.50925926
304,5,1949,60.875,16.04166667
305,5,1950,59.78333333,15.43518519
306,5,1951,60.1,15.61111111
307,5,1952,60.99166667,16.10648148
308,5,1953,61.80833333,16.56018519
309,5,1954,62.78333333,17.10185185
310,5,1955,60.80833333,16.00462963
311,5,1956,61.38333333,16.32407407
312,5,1957,60.575,15.875
313,5,1958,58.75833333,14.86574074
314,5,1959,60,15.55555556
315,5,1960,58.88333333,14.93518519
316,5,1961,59.13333333,15.07407407
317,5,1962,60.30833333,15.72685185
318,5,1963,60.33333333,15.74074074
319,5,1964,60.66666667,15.92592593
320,5,1965,61.025,16.125
321,5,1966,59.175,15.09722222
322,5,1967,59.86666667,15.48148148
323,5,1968,58.66666667,14.81481481
324,5,1969,59.51666667,15.28703704
325,5,1970,59.71666667,15.39814815
326,5,1971,60.46666667,15.81481481
327,5,1972,60.03333333,15.57407407
328,5,1973,60.575,15.875
329,5,1974,60.26666667,15.7037037
330,5,1975,59.875,15.48611111
331,5,1976,58.75,14.86111111
332,5,1977,60.76666667,15.98148148
333,5,1978,58.9,14.94444444
334,5,1979,57.99166667,14.43981481
335,5,1980,60.49166667,15.8287037
336,5,1981,60.225,15.68055556
337,5,1982,59.96666667,15.53703704
338,5,1983,58.86666667,14.92592593
339,5,1984,60.05,15.58333333
340,5,1985,59.84166667,15.46759259
341,5,1986,61.51666667,16.39814815
342,5,1987,61.03333333,16.12962963
343,5,1988,59.75,15.41666667
344,5,1989,58.96666667,14.98148148
345,5,1990,61.84166667,16.5787037
346,5,1991,61.3,16.27777778
347,5,1992,59.89166667,15.49537037
348,5,1993,59.30833333,15.1712963
349,5,1994,60.39166667,15.77314815
350,5,1995,60.475,15.81944444
351,5,1996,59.56666667,15.31481481
352,5,1997,59.65833333,15.36574074
353,5,1998,63.1,17.27777778
354,5,1999,62.15,16.75
355,5,2000,60.89166667,16.05092593
356,5,2001,61.225,16.23611111
357,5,2002,60.58333333,15.87962963
358,5,2003,60.26666667,15.7037037
359,5,2004,61.025,16.125
360,5,2005,61.95833333,16.64351852
361,5,2006,61.99166667,16.66203704
362,5,2007,61.80833333,16.56018519
363,5,2008,59.85833333,15.47685185
364,5,2009,59.925,15.51388889
365,5,2010,61.175,16.20833333
366,5,2011,61.81666667,16.56481481
367,5,2012,63.60833333,17.56018519
368,5,2013,59.64166667,15.35648148
369,5,2014,58.66666667,14.81481481
370,5,2015,61.4,16.33333333
371,5,2016,62.79166667,17.10648148
372,5,2017,62.54166667,16.96759259
373,5,2018,61.16666667,16.2037037
374,5,2019,61.225,16.23611111
375,6,1895,56.45833333,13.58796296
376,6,1896,57.46666667,14.14814815
377,6,1897,56.45833333,13.58796296
378,6,1898,56.7,13.72222222
379,6,1899,56.55833333,13.64351852
380,6,1900,57.49166667,14.16203704
381,6,1901,57.24166667,14.02314815
382,6,1902,56.16666667,13.42592593
383,6,1903,56.20833333,13.44907407
384,6,1904,57.41666667,14.12037037
385,6,1905,57.075,13.93055556
386,6,1906,57.18333333,13.99074074
387,6,1907,56.525,13.625
388,6,1908,56.23333333,13.46296296
389,6,1909,56.225,13.45833333
390,6,1910,57.65833333,14.25462963
391,6,1911,55.375,12.98611111
392,6,1912,55.54166667,13.0787037
393,6,1913,56.45,13.58333333
394,6,1914,57.375,14.09722222
395,6,1915,56.74166667,13.74537037
396,6,1916,55.58333333,13.10185185
397,6,1917,56.625,13.68055556
398,6,1918,56.84166667,13.80092593
399,6,1919,56.275,13.48611111
400,6,1920,56.09166667,13.38425926
401,6,1921,57.30833333,14.06018519
402,6,1922,56.05833333,13.36574074
403,6,1923,56.36666667,13.53703704
404,6,1924,57.15,13.97222222
405,6,1925,57.14166667,13.96759259
406,6,1926,58.79166667,14.88425926
407,6,1927,56.875,13.81944444
408,6,1928,57.675,14.26388889
409,6,1929,57.23333333,14.01851852
410,6,1930,56.94166667,13.85648148
411,6,1931,58.28333333,14.60185185
412,6,1932,56.93333333,13.85185185
413,6,1933,56.71666667,13.73148148
414,6,1934,59.70833333,15.39351852
415,6,1935,56.84166667,13.80092593
416,6,1936,58.61666667,14.78703704
417,6,1937,57.15833333,13.97685185
418,6,1938,57.25,14.02777778
419,6,1939,58.31666667,14.62037037
420,6,1940,58.83333333,14.90740741
421,6,1941,57.05833333,13.9212963
422,6,1942,57.05,13.91666667
423,6,1943,57.83333333,14.35185185
424,6,1944,56.225,13.45833333
425,6,1945,57.09166667,13.93981481
426,6,1946,56.71666667,13.73148148
427,6,1947,57.55,14.19444444
428,6,1948,55.65,13.13888889
429,6,1949,56.21666667,13.4537037
430,6,1950,58.125,14.51388889
431,6,1951,57.225,14.01388889
432,6,1952,56.75833333,13.75462963
433,6,1953,57.175,13.98611111
434,6,1954,57.575,14.20833333
435,6,1955,56.20833333,13.44907407
436,6,1956,56.96666667,13.87037037
437,6,1957,57.09166667,13.93981481
438,6,1958,58.89166667,14.93981481
439,6,1959,58.95,14.97222222
440,6,1960,58.05,14.47222222
441,6,1961,57.80833333,14.33796296
442,6,1962,57.375,14.09722222
443,6,1963,57.08333333,13.93518519
444,6,1964,56.56666667,13.64814815
445,6,1965,56.7,13.72222222
446,6,1966,58.00833333,14.44907407
447,6,1967,57.49166667,14.16203704
448,6,1968,57.59166667,14.21759259
449,6,1969,57.49166667,14.16203704
450,6,1970,57.81666667,14.34259259
451,6,1971,56.20833333,13.44907407
452,6,1972,57.25833333,14.03240741
453,6,1973,57.3,14.05555556
454,6,1974,57.63333333,14.24074074
455,6,1975,56.26666667,13.48148148
456,6,1976,57.475,14.15277778
457,6,1977,57.975,14.43055556
458,6,1978,57.60833333,14.22685185
459,6,1979,57.66666667,14.25925926
460,6,1980,58.075,14.48611111
461,6,1981,59.3,15.16666667
462,6,1982,56.34166667,13.52314815
463,6,1983,57.55,14.19444444
464,6,1984,58.21666667,14.56481481
465,6,1985,57.325,14.06944444
466,6,1986,58.875,14.93055556
467,6,1987,58.275,14.59722222
468,6,1988,58.75,14.86111111
469,6,1989,58.10833333,14.50462963
470,6,1990,57.96666667,14.42592593
471,6,1991,58.13333333,14.51851852
472,6,1992,59.26666667,15.14814815
473,6,1993,57.65833333,14.25462963
474,6,1994,58.00833333,14.44907407
475,6,1995,58.93333333,14.96296296
476,6,1996,59.55833333,15.31018519
477,6,1997,59.11666667,15.06481481
478,6,1998,56.70833333,13.72685185
479,6,1999,57.95833333,14.4212963
480,6,2000,58.8,14.88888889
481,6,2001,59.11666667,15.06481481
482,6,2002,58.85,14.91666667
483,6,2003,59.425,15.23611111
484,6,2004,58.85833333,14.9212963
485,6,2005,58.6,14.77777778
486,6,2006,58.64166667,14.80092593
487,6,2007,58.925,14.95833333
488,6,2008,58.91666667,14.9537037
489,6,2009,58.83333333,14.90740741
490,6,2010,57.725,14.29166667
491,6,2011,57.43333333,14.12962963
492,6,2012,59.50833333,15.28240741
493,6,2013,59.31666667,15.17592593
494,6,2014,61.45,16.36111111
495,6,2015,60.75833333,15.97685185
496,6,2016,60.13333333,15.62962963
497,6,2017,60.34166667,15.74537037
498,6,2018,60.125,15.625
499,6,2019,58.375,14.65277778
500,8,1895,42.43333333,5.796296296
501,8,1896,44.875,7.152777778
502,8,1897,44.03333333,6.685185185
503,8,1898,42.71666667,5.953703704
504,8,1899,43.16666667,6.203703704
505,8,1900,45.40833333,7.449074074
506,8,1901,45.10833333,7.282407407
507,8,1902,44.69166667,7.050925926
508,8,1903,42.79166667,5.99537037
509,8,1904,44.73333333,7.074074074
510,8,1905,43.49166667,6.384259259
511,8,1906,43.95833333,6.643518519
512,8,1907,45.125,7.291666667
513,8,1908,43.625,6.458333333
514,8,1909,43.3,6.277777778
515,8,1910,46.1,7.833333333
516,8,1911,44.4,6.888888889
517,8,1912,41.78333333,5.435185185
518,8,1913,42.80833333,6.00462963
519,8,1914,44.40833333,6.893518519
520,8,1915,43.15833333,6.199074074
521,8,1916,43.48333333,6.37962963
522,8,1917,42.90833333,6.060185185
523,8,1918,43.76666667,6.537037037
524,8,1919,43.25833333,6.25462963
525,8,1920,43.19166667,6.217592593
526,8,1921,46,7.777777778
527,8,1922,44.15833333,6.75462963
528,8,1923,43.225,6.236111111
529,8,1924,42.675,5.930555556
530,8,1925,44.64166667,7.023148148
531,8,1926,44.66666667,7.037037037
532,8,1927,44.525,6.958333333
533,8,1928,43.93333333,6.62962963
534,8,1929,42.54166667,5.856481481
535,8,1930,43.625,6.458333333
536,8,1931,44.95833333,7.199074074
537,8,1932,43.675,6.486111111
538,8,1933,45.425,7.458333333
539,8,1934,47.975,8.875
540,8,1935,45.16666667,7.314814815
541,8,1936,45.44166667,7.467592593
542,8,1937,44.20833333,6.782407407
543,8,1938,45.09166667,7.273148148
544,8,1939,45.46666667,7.481481481
545,8,1940,45.45,7.472222222
546,8,1941,44.60833333,7.00462963
547,8,1942,43.9,6.611111111
548,8,1943,45.725,7.625
549,8,1944,43.90833333,6.615740741
550,8,1945,44.21666667,6.787037037
551,8,1946,45.575,7.541666667
552,8,1947,44.5,6.944444444
553,8,1948,43.76666667,6.537037037
554,8,1949,44.175,6.763888889
555,8,1950,45.20833333,7.337962963
556,8,1951,43.46666667,6.37037037
557,8,1952,44.25,6.805555556
558,8,1953,45.63333333,7.574074074
559,8,1954,47.35,8.527777778
560,8,1955,44.15833333,6.75462963
561,8,1956,45.08333333,7.268518519
562,8,1957,44.11666667,6.731481481
563,8,1958,45.5,7.5
564,8,1959,44.75833333,7.087962963
565,8,1960,44.20833333,6.782407407
566,8,1961,43.85833333,6.587962963
567,8,1962,45.05,7.25
568,8,1963,46.18333333,7.87962963
569,8,1964,43.59166667,6.439814815
570,8,1965,44.175,6.763888889
571,8,1966,44.61666667,7.009259259
572,8,1967,44.76666667,7.092592593
573,8,1968,43.63333333,6.462962963
574,8,1969,44.68333333,7.046296296
575,8,1970,44.3,6.833333333
576,8,1971,44.06666667,6.703703704
577,8,1972,44.6,7
578,8,1973,43.375,6.319444444
579,8,1974,44.41666667,6.898148148
580,8,1975,43.50833333,6.393518519
581,8,1976,44.7,7.055555556
582,8,1977,46.28333333,7.935185185
583,8,1978,44.53333333,6.962962963
584,8,1979,43.49166667,6.384259259
585,8,1980,45.6,7.555555556
586,8,1981,47.06666667,8.37037037
587,8,1982,44.09166667,6.717592593
588,8,1983,44.40833333,6.893518519
589,8,1984,43.68333333,6.490740741
590,8,1985,44.125,6.736111111
591,8,1986,46.30833333,7.949074074
592,8,1987,45.25,7.361111111
593,8,1988,45.1,7.277777778
594,8,1989,45.375,7.430555556
595,8,1990,45.6,7.555555556
596,8,1991,45.04166667,7.24537037
597,8,1992,45.26666667,7.37037037
598,8,1993,43.83333333,6.574074074
599,8,1994,46.51666667,8.064814815
600,8,1995,45.66666667,7.592592593
601,8,1996,45.775,7.652777778
602,8,1997,44.84166667,7.134259259
603,8,1998,46.25,7.916666667
604,8,1999,46.64166667,8.134259259
605,8,2000,47,8.333333333
606,8,2001,46.85,8.25
607,8,2002,46.08333333,7.824074074
608,8,2003,47.025,8.347222222
609,8,2004,45.84166667,7.689814815
610,8,2005,46.76666667,8.203703704
611,8,2006,46.50833333,8.060185185
612,8,2007,46.175,7.875
613,8,2008,44.94166667,7.189814815
614,8,2009,45.18333333,7.324074074
615,8,2010,46.15,7.861111111
616,8,2011,45.43333333,7.462962963
617,8,2012,48.31666667,9.064814815
618,8,2013,45.09166667,7.273148148
619,8,2014,46.05833333,7.810185185
620,8,2015,47.44166667,8.578703704
621,8,2016,47.28333333,8.490740741
622,8,2017,47.925,8.847222222
623,8,2018,47.16666667,8.425925926
624,8,2019,45.25833333,7.365740741
625,9,1895,46.6,8.111111111
626,9,1896,46.83333333,8.240740741
627,9,1897,47.28333333,8.490740741
628,9,1898,48.20833333,9.00462963
629,9,1899,47.05,8.361111111
630,9,1900,48.44166667,9.134259259
631,9,1901,46.55833333,8.087962963
632,9,1902,47.16666667,8.425925926
633,9,1903,46.88333333,8.268518519
634,9,1904,44.325,6.847222222
635,9,1905,46.275,7.930555556
636,9,1906,47.65833333,8.699074074
637,9,1907,45.61666667,7.564814815
638,9,1908,48.225,9.013888889
639,9,1909,47.36666667,8.537037037
640,9,1910,47.56666667,8.648148148
641,9,1911,47.675,8.708333333
642,9,1912,46.575,8.097222222
643,9,1913,49.18333333,9.546296296
644,9,1914,46.375,7.986111111
645,9,1915,47.875,8.819444444
646,9,1916,46.425,8.013888889
647,9,1917,44.75833333,7.087962963
648,9,1918,46.85833333,8.25462963
649,9,1919,47.98333333,8.87962963
650,9,1920,46.44166667,8.023148148
651,9,1921,49.31666667,9.62037037
652,9,1922,47.875,8.819444444
653,9,1923,46.76666667,8.203703704
654,9,1924,46.35,7.972222222
655,9,1925,47.94166667,8.856481481
656,9,1926,45.65,7.583333333
657,9,1927,47.91666667,8.842592593
658,9,1928,47.80833333,8.782407407
659,9,1929,47.71666667,8.731481481
660,9,1930,48.64166667,9.24537037
661,9,1931,49.64166667,9.800925926
662,9,1932,48.79166667,9.328703704
663,9,1933,48.40833333,9.115740741
664,9,1934,47.225,8.458333333
665,9,1935,47.30833333,8.50462963
666,9,1936,47.69166667,8.717592593
667,9,1937,48.725,9.291666667
668,9,1938,48.875,9.375
669,9,1939,47.75,8.75
670,9,1940,45.75,7.638888889
671,9,1941,48.475,9.152777778
672,9,1942,48.275,9.041666667
673,9,1943,47.325,8.513888889
674,9,1944,48.25,9.027777778
675,9,1945,48.26666667,9.037037037
676,9,1946,48.89166667,9.384259259
677,9,1947,47.875,8.819444444
678,9,1948,47.78333333,8.768518519
679,9,1949,50.53333333,10.2962963
680,9,1950,47.85,8.805555556
681,9,1951,48.98333333,9.435185185
682,9,1952,49.35833333,9.643518519
683,9,1953,50.525,10.29166667
684,9,1954,48.69166667,9.273148148
685,9,1955,48.66666667,9.259259259
686,9,1956,47.61666667,8.675925926
687,9,1957,49.21666667,9.564814815
688,9,1958,46.625,8.125
689,9,1959,49.21666667,9.564814815
690,9,1960,47.96666667,8.87037037
691,9,1961,48.29166667,9.050925926
692,9,1962,46.75,8.194444444
693,9,1963,47.2,8.444444444
694,9,1964,48,8.888888889
695,9,1965,47.53333333,8.62962963
696,9,1966,47.95,8.861111111
697,9,1967,47.125,8.402777778
698,9,1968,47.74166667,8.74537037
699,9,1969,47.95,8.861111111
700,9,1970,47.75,8.75
701,9,1971,48.25833333,9.032407407
702,9,1972,47.275,8.486111111
703,9,1973,50.05,10.02777778
704,9,1974,48.23333333,9.018518519
705,9,1975,49.05833333,9.476851852
706,9,1976,47.58333333,8.657407407
707,9,1977,48.19166667,8.99537037
708,9,1978,46.725,8.180555556
709,9,1979,48.825,9.347222222
710,9,1980,47.93333333,8.851851852
711,9,1981,48.40833333,9.115740741
712,9,1982,47.94166667,8.856481481
713,9,1983,49.40833333,9.671296296
714,9,1984,48.95,9.416666667
715,9,1985,48.65833333,9.25462963
716,9,1986,48.49166667,9.162037037
717,9,1987,48.825,9.347222222
718,9,1988,48.325,9.069444444
719,9,1989,47.94166667,8.856481481
720,9,1990,51.06666667,10.59259259
721,9,1991,50.95833333,10.53240741
722,9,1992,47.68333333,8.712962963
723,9,1993,48.65,9.25
724,9,1994,48.85833333,9.365740741
725,9,1995,49.03333333,9.462962963
726,9,1996,48.375,9.097222222
