month,year,Reporting.Area,average_temp
11,2019,CALIFORNIA,55.9
11,2019,COLORADO,38
11,2019,CONNECTICUT,45.8
11,2019,DELAWARE,52.6
11,2019,FLORIDA,71.4
11,2019,GEORGIA,61.2
11,2019,IDAHO,35.4
11,2019,ILLINOIS,45
11,2019,INDIANA,46
11,2019,IOWA,39.8
11,2019,KANSAS,45.6
11,2019,KENTUCKY,50.6
11,2019,LOUISIANA,61.9
11,2019,MAINE,37.8
11,2019,MARYLAND,51.4
11,2019,MASSACHUSETTS,44.9
11,2019,MICHIGAN,39.2
11,2019,MINNESOTA,34.2
11,2019,MISSISSIPPI,58.4
11,2019,MISSOURI,47.2
11,2019,MONTANA,32.4
11,2019,NEBRASKA,39.7
11,2019,NEVADA,43.7
11,2019,NEW HAMPSHIRE,39.7
11,2019,NEW JERSEY,49.8
11,2019,NEW MEXICO,47.8
11,2019,NEW YORK,41.5
11,2019,NORTH CAROLINA,56
11,2019,NORTH DAKOTA,31.8
11,2019,OHIO,47
11,2019,OKLAHOMA,51.8
11,2019,OREGON,41.8
11,2019,PENNSYLVANIA,45.1
11,2019,RHODE ISLAND,47.4
11,2019,SOUTH CAROLINA,59.8
11,2019,SOUTH DAKOTA,35.6
11,2019,TENNESSEE,53
11,2019,TEXAS,59.2
11,2019,UTAH,40.7
11,2019,VERMONT,38.3
11,2019,VIRGINIA,51.8
11,2019,WASHINGTON,40.2
11,2019,WEST VIRGINIA,48.5
11,2019,WISCONSIN,36.6
11,2019,WYOMING,32.2
12,2019,ALABAMA,51
12,2019,ARIZONA,47.2
12,2019,ARKANSAS,46
12,2019,CALIFORNIA,48.7
12,2019,COLORADO,31.6
12,2019,CONNECTICUT,34.9
12,2019,DELAWARE,41.8
12,2019,FLORIDA,64.4
12,2019,GEORGIA,52.6
12,2019,IDAHO,30.4
12,2019,ILLINOIS,35.9
12,2019,INDIANA,36.4
12,2019,IOWA,30.8
12,2019,KANSAS,38.4
12,2019,KENTUCKY,41.6
12,2019,LOUISIANA,54.4
12,2019,MAINE,26.2
12,2019,MARYLAND,40.8
12,2019,MASSACHUSETTS,34
12,2019,MICHIGAN,29.6
12,2019,MINNESOTA,21.3
12,2019,MISSISSIPPI,50.5
12,2019,MISSOURI,39.6
12,2019,MONTANA,27.6
12,2019,NEBRASKA,32.7
12,2019,NEVADA,37.5
12,2019,NEW HAMPSHIRE,28.1
12,2019,NEW JERSEY,38.8
12,2019,NEW MEXICO,40.4
12,2019,NEW YORK,30
12,2019,NORTH CAROLINA,47
12,2019,NORTH DAKOTA,21.1
12,2019,OHIO,36.8
12,2019,OKLAHOMA,44.7
12,2019,OREGON,37.4
12,2019,PENNSYLVANIA,34.6
12,2019,RHODE ISLAND,37.1
12,2019,SOUTH CAROLINA,50.6
12,2019,SOUTH DAKOTA,27.2
12,2019,TENNESSEE,44.7
12,2019,TEXAS,52
12,2019,UTAH,33.6
12,2019,VERMONT,26.3
12,2019,VIRGINIA,42.3
12,2019,WASHINGTON,35.6
12,2019,WEST VIRGINIA,38.9
12,2019,WISCONSIN,25.8
12,2019,WYOMING,26.6
1,2020,ALABAMA,50.4
1,2020,ARIZONA,43
1,2020,ARKANSAS,44.8
1,2020,CALIFORNIA,44.8
1,2020,COLORADO,27.8
1,2020,CONNECTICUT,32.4
1,2020,DELAWARE,40.1
1,2020,FLORIDA,62.8
1,2020,GEORGIA,51.8
1,2020,IDAHO,27
1,2020,ILLINOIS,33.7
1,2020,INDIANA,35.2
1,2020,IOWA,26.2
1,2020,KANSAS,35.4
1,2020,KENTUCKY,41.2
1,2020,LOUISIANA,53.9
1,2020,MAINE,21.8
1,2020,MARYLAND,39
1,2020,MASSACHUSETTS,31.2
1,2020,MICHIGAN,27.7
1,2020,MINNESOTA,15.4
1,2020,MISSISSIPPI,50.4
1,2020,MISSOURI,36.8
1,2020,MONTANA,24.6
1,2020,NEBRASKA,28.7
1,2020,NEVADA,34.2
1,2020,NEW HAMPSHIRE,25
1,2020,NEW JERSEY,36.8
1,2020,NEW MEXICO,37.2
1,2020,NEW YORK,27.5
1,2020,NORTH CAROLINA,46.3
1,2020,NORTH DAKOTA,14.5
1,2020,OHIO,35.6
1,2020,OKLAHOMA,42.7
1,2020,OREGON,34.6
1,2020,PENNSYLVANIA,32.4
1,2020,RHODE ISLAND,34.7
1,2020,SOUTH CAROLINA,50.3
1,2020,SOUTH DAKOTA,21.7
1,2020,TENNESSEE,44.1
1,2020,TEXAS,50.7
1,2020,UTAH,28.8
1,2020,VERMONT,23.4
1,2020,VIRGINIA,41
1,2020,WASHINGTON,33.8
1,2020,WEST VIRGINIA,37.9
1,2020,WISCONSIN,22.5
1,2020,WYOMING,23.4
2,2020,ALABAMA,50.2
2,2020,ARIZONA,44.8
2,2020,ARKANSAS,44.2
2,2020,CALIFORNIA,47.2
2,2020,COLORADO,26.9
2,2020,CONNECTICUT,33.4
2,2020,DELAWARE,41
2,2020,FLORIDA,62.7
2,2020,GEORGIA,51.6
2,2020,IDAHO,26.8
2,2020,ILLINOIS,31.8
2,2020,INDIANA,33.6
2,2020,IOWA,24
2,2020,KANSAS,34.4
2,2020,KENTUCKY,40
2,2020,LOUISIANA,53.8
2,2020,MAINE,20.4
2,2020,MARYLAND,40
2,2020,MASSACHUSETTS,32.2
2,2020,MICHIGAN,25.4
2,2020,MINNESOTA,14
2,2020,MISSISSIPPI,50.6
2,2020,MISSOURI,35
2,2020,MONTANA,24.5
2,2020,NEBRASKA,28.4
2,2020,NEVADA,35.8
2,2020,NEW HAMPSHIRE,24.7
2,2020,NEW JERSEY,38.2
2,2020,NEW MEXICO,37.8
2,2020,NEW YORK,27.2
2,2020,NORTH CAROLINA,46.5
2,2020,NORTH DAKOTA,15.4
2,2020,OHIO,33.8
2,2020,OKLAHOMA,42
2,2020,OREGON,35.4
2,2020,PENNSYLVANIA,32.8
2,2020,RHODE ISLAND,35.4
2,2020,SOUTH CAROLINA,50.6
2,2020,SOUTH DAKOTA,21.8
2,2020,TENNESSEE,43.2
2,2020,TEXAS,50
2,2020,UTAH,29.9
2,2020,VERMONT,22.9
2,2020,VIRGINIA,41.5
2,2020,WASHINGTON,34.9
2,2020,WEST VIRGINIA,37.6
2,2020,WISCONSIN,20.4
2,2020,WYOMING,22
3,2020,ALABAMA,57.2
3,2020,ARIZONA,48.4
3,2020,ARKANSAS,50.5
3,2020,CALIFORNIA,48.6
3,2020,COLORADO,32.6
3,2020,CONNECTICUT,37.6
3,2020,DELAWARE,45.7
3,2020,FLORIDA,67.3
3,2020,GEORGIA,57.5
3,2020,IDAHO,30.6
3,2020,ILLINOIS,38.2
3,2020,INDIANA,38.7
3,2020,IOWA,32.6
3,2020,KANSAS,41.4
3,2020,KENTUCKY,45.6
3,2020,LOUISIANA,60.6
3,2020,MAINE,24.8
3,2020,MARYLAND,45.2
3,2020,MASSACHUSETTS,36.3
3,2020,MICHIGAN,29.4
3,2020,MINNESOTA,22.2
3,2020,MISSISSIPPI,57.6
3,2020,MISSOURI,42.1
3,2020,MONTANA,28.6
3,2020,NEBRASKA,35.4
3,2020,NEVADA,38.4
3,2020,NEW HAMPSHIRE,29.2
3,2020,NEW JERSEY,42.7
3,2020,NEW MEXICO,43.2
3,2020,NEW YORK,31.9
3,2020,NORTH CAROLINA,51.4
3,2020,NORTH DAKOTA,23.8
3,2020,OHIO,38.8
3,2020,OKLAHOMA,48.6
3,2020,OREGON,37.3
3,2020,PENNSYLVANIA,37.9
3,2020,RHODE ISLAND,39
3,2020,SOUTH CAROLINA,55.6
3,2020,SOUTH DAKOTA,30
3,2020,TENNESSEE,49
3,2020,TEXAS,56.3
3,2020,UTAH,36
3,2020,VERMONT,27.7
3,2020,VIRGINIA,47
3,2020,WASHINGTON,37
3,2020,WEST VIRGINIA,42.9
3,2020,WISCONSIN,26.8
3,2020,WYOMING,26.6
4,2020,ALABAMA,62.8
4,2020,ARIZONA,55.2
4,2020,ARKANSAS,57.6
4,2020,CALIFORNIA,52.3
4,2020,COLORADO,41.1
4,2020,CONNECTICUT,42.9
4,2020,DELAWARE,50.6
4,2020,FLORIDA,72
4,2020,GEORGIA,63.1
4,2020,IDAHO,38.4
4,2020,ILLINOIS,47
4,2020,INDIANA,46.8
4,2020,IOWA,43.5
4,2020,KANSAS,50.3
4,2020,KENTUCKY,52.1
4,2020,LOUISIANA,66.9
4,2020,MAINE,33.6
4,2020,MARYLAND,50.4
4,2020,MASSACHUSETTS,41.6
4,2020,MICHIGAN,37.6
4,2020,MINNESOTA,34.9
4,2020,MISSISSIPPI,63.5
4,2020,MISSOURI,51
4,2020,MONTANA,35
4,2020,NEBRASKA,43.6
4,2020,NEVADA,44.6
4,2020,NEW HAMPSHIRE,36.9
4,2020,NEW JERSEY,47.5
4,2020,NEW MEXICO,51
4,2020,NEW YORK,39.2
4,2020,NORTH CAROLINA,56.6
4,2020,NORTH DAKOTA,33.7
4,2020,OHIO,46.2
4,2020,OKLAHOMA,56.7
4,2020,OREGON,42.6
4,2020,PENNSYLVANIA,43.8
4,2020,RHODE ISLAND,43.4
4,2020,SOUTH CAROLINA,61.2
4,2020,SOUTH DAKOTA,39.2
4,2020,TENNESSEE,55
4,2020,TEXAS,64.2
4,2020,UTAH,44.1
4,2020,VERMONT,35.9
4,2020,VIRGINIA,52.5
4,2020,WASHINGTON,42.2
4,2020,WEST VIRGINIA,48.4
4,2020,WISCONSIN,37.5
4,2020,WYOMING,35.4
5,2020,ALABAMA,65.4
5,2020,ARIZONA,64.9
5,2020,ARKANSAS,62.8
5,2020,CALIFORNIA,60.6
5,2020,COLORADO,49.5
5,2020,CONNECTICUT,50.4
5,2020,DELAWARE,56.2
5,2020,FLORIDA,74.4
5,2020,GEORGIA,66.2
5,2020,IDAHO,46.1
5,2020,ILLINOIS,55.1
5,2020,INDIANA,54.3
5,2020,IOWA,52.2
5,2020,KANSAS,57.2
5,2020,KENTUCKY,57.5
5,2020,LOUISIANA,69.8
5,2020,MAINE,44.4
5,2020,MARYLAND,56
5,2020,MASSACHUSETTS,49.6
5,2020,MICHIGAN,46.7
5,2020,MINNESOTA,46.4
5,2020,MISSISSIPPI,66.6
5,2020,MISSOURI,57.6
5,2020,MONTANA,44.4
5,2020,NEBRASKA,51.4
5,2020,NEVADA,53.8
5,2020,NEW HAMPSHIRE,46.5
5,2020,NEW JERSEY,53.9
5,2020,NEW MEXICO,59.6
5,2020,NEW YORK,47.6
5,2020,NORTH CAROLINA,60.5
5,2020,NORTH DAKOTA,45
5,2020,OHIO,53.1
5,2020,OKLAHOMA,62.6
5,2020,OREGON,49.4
5,2020,PENNSYLVANIA,50.6
5,2020,RHODE ISLAND,50.4
5,2020,SOUTH CAROLINA,65
5,2020,SOUTH DAKOTA,48.1
5,2020,TENNESSEE,59.7
5,2020,TEXAS,69.8
5,2020,UTAH,53.2
5,2020,VERMONT,45.7
5,2020,VIRGINIA,56.9
5,2020,WASHINGTON,49.6
5,2020,WEST VIRGINIA,53.4
5,2020,WISCONSIN,47.4
5,2020,WYOMING,44
6,2020,ALABAMA,72.9
6,2020,ARIZONA,73.6
6,2020,ARKANSAS,71.6
6,2020,CALIFORNIA,67.5
6,2020,COLORADO,60.3
6,2020,CONNECTICUT,62.4
6,2020,DELAWARE,67.1
6,2020,FLORIDA,78.4
6,2020,GEORGIA,73.2
6,2020,IDAHO,53.4
6,2020,ILLINOIS,67.1
6,2020,INDIANA,65.9
6,2020,IOWA,65.2
6,2020,KANSAS,69.7
6,2020,KENTUCKY,67.4
6,2020,LOUISIANA,76.4
6,2020,MAINE,56.8
6,2020,MARYLAND,66.6
6,2020,MASSACHUSETTS,61.9
6,2020,MICHIGAN,59.6
6,2020,MINNESOTA,60.6
