Reporting Area,MMWR Year,MMWR Week,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Max†","Cryptosporidiosis, Previous 52 weeks Max†, flag","Cryptosporidiosis, Cum 2021†","Cryptosporidiosis, Cum 2021†, flag","Cryptosporidiosis, Cum 2020†","Cryptosporidiosis, Cum 2020†, flag","Cyclosporiasis, Current week","Cyclosporiasis, Current week, flag","Cyclosporiasis, Previous 52 weeks Max†","Cyclosporiasis, Previous 52 weeks Max†, flag","Cyclosporiasis, Cum 2021†","Cyclosporiasis, Cum 2021†, flag","Cyclosporiasis, Cum 2020†","Cyclosporiasis, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode,Counties,States
GUAM,2021,7,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210766,POINT (144.653198 13.3532),,
PUERTO RICO,2021,7,,-,1,,,-,1,,,-,0,,,-,,-,PUERTO RICO,,20210767,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,7,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210768,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,7,,-,1,,,-,1,,,-,0,,,-,,-,,NON-US RESIDENTS,20210769,,,
TOTAL,2021,7,21,,204,,290,,1046,,,-,248,,7,,13,,,TOTAL,20210770,,,
US RESIDENTS,2021,8,31,,206,,350,,1190,,,-,249,,12,,14,,,US RESIDENTS,20210801,,,
NEW ENGLAND,2021,8,3,,20,,28,,57,,,-,5,,,-,1,,,NEW ENGLAND,20210802,,,
CONNECTICUT,2021,8,,-,4,,1,,5,,,-,2,,,-,,-,CONNECTICUT,,20210803,POINT (-72.738288 41.575155),1043,24
MAINE,2021,8,1,,5,,8,,6,,,-,0,,,-,,-,MAINE,,20210804,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,8,2,,6,,11,,26,,,-,4,,,-,1,,MASSACHUSETTS,,20210805,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,8,,-,3,,5,,10,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210806,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,8,,-,2,,2,,5,,,-,1,,,-,,-,RHODE ISLAND,,20210807,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,8,,-,11,,1,,5,,,-,0,,,-,,-,VERMONT,,20210808,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,8,4,,46,,53,,185,,,-,34,,1,,1,,,MIDDLE ATLANTIC,20210809,,,
NEW JERSEY,2021,8,,-,5,,,-,31,,,-,19,,,-,1,,NEW JERSEY,,20210810,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,8,1,,31,,17,,49,,,-,10,,1,,,-,NEW YORK,,20210811,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,8,,-,6,,11,,53,,,-,17,,,-,,-,,NEW YORK CITY,20210812,,,
PENNSYLVANIA,2021,8,3,,13,,25,,52,,,N,,NC,,N,,N,PENNSYLVANIA,,20210813,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,8,8,,61,,62,,229,,,-,112,,9,,6,,,EAST NORTH CENTRAL,20210814,,,
ILLINOIS,2021,8,,-,12,,4,,40,,,-,97,,,-,1,,ILLINOIS,,20210815,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,8,,-,6,,4,,23,,,-,2,,,-,,-,INDIANA,,20210816,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,8,2,,14,,5,,32,,,-,3,,,-,,-,MICHIGAN,,20210817,POINT (-85.730977 44.874798),1262,50
OHIO,2021,8,5,,13,,34,,87,,,-,14,,9,,4,,OHIO,,20210818,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,8,1,,24,,15,,47,,,-,18,,,-,1,,WISCONSIN,,20210819,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,8,1,,31,,24,,116,,,-,122,,1,,,-,,WEST NORTH CENTRAL,20210820,,,
IOWA,2021,8,,-,17,,8,,48,,,-,103,,,-,,-,IOWA,,20210821,POINT (-93.500061 42.074659),299,16
KANSAS,2021,8,1,,4,,3,,8,,,-,6,,,-,,-,KANSAS,,20210822,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210823,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,8,,-,13,,6,,33,,,-,37,,1,,,-,MISSOURI,,20210824,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,8,,-,5,,2,,14,,,-,30,,,-,,-,NEBRASKA,,20210825,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,8,,-,2,,5,,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20210826,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,8,,-,6,,,-,13,,,-,6,,,-,,-,SOUTH DAKOTA,,20210827,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,8,3,,38,,53,,221,,,-,40,,,-,3,,,SOUTH ATLANTIC,20210828,,,
DELAWARE,2021,8,,-,3,,1,,3,,,-,1,,,-,,-,DELAWARE,,20210829,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,8,,-,1,,,-,5,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210830,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,8,,-,11,,,-,54,,,-,18,,,-,1,,FLORIDA,,20210831,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,8,2,,21,,23,,45,,,-,18,,,-,,-,GEORGIA,,20210832,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,8,,-,6,,,-,19,,,-,3,,,-,2,,MARYLAND,,20210833,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,8,,-,9,,,-,38,,,-,1,,,-,,-,NORTH CAROLINA,,20210834,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,8,1,,4,,8,,13,,,-,3,,,-,,-,SOUTH CAROLINA,,20210835,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,8,,-,8,,21,,40,,,-,12,,,-,,-,VIRGINIA,,20210836,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,8,,-,5,,,-,4,,,-,1,,,-,,-,WEST VIRGINIA,,20210837,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,8,1,,17,,18,,71,,,-,16,,,-,1,,,EAST SOUTH CENTRAL,20210838,,,
ALABAMA,2021,8,1,,8,,10,,23,,,-,2,,,-,,-,ALABAMA,,20210839,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,8,,-,8,,6,,10,,,-,5,,,-,,-,KENTUCKY,,20210840,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,8,,-,1,,,-,11,,,N,,NC,,N,,N,MISSISSIPPI,,20210841,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,8,,-,9,,2,,27,,,-,11,,,-,1,,TENNESSEE,,20210842,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,8,4,,21,,22,,105,,,-,60,,1,,2,,,WEST SOUTH CENTRAL,20210843,,,
ARKANSAS,2021,8,1,,6,,8,,4,,,-,3,,1,,,-,ARKANSAS,,20210844,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,8,,-,6,,1,,20,,,-,16,,,-,1,,LOUISIANA,,20210845,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,8,2,,5,,6,,12,,,N,,NC,,N,,N,OKLAHOMA,,20210846,POINT (-97.508297 35.583449),712,20
TEXAS,2021,8,1,,15,,7,,69,,,-,53,,,-,1,,TEXAS,,20210847,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,8,2,,16,,34,,97,,,-,9,,,-,,-,,MOUNTAIN,20210848,,,
ARIZONA,2021,8,1,,5,,9,,16,,,-,2,,,-,,-,ARIZONA,,20210849,POINT (-111.664616 34.293239),987,7
COLORADO,2021,8,1,,6,,15,,27,,,-,6,,,-,,-,COLORADO,,20210850,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,8,,-,2,,,-,9,,,N,,NC,,N,,N,IDAHO,,20210851,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,8,,-,3,,3,,9,,,-,1,,,-,,-,MONTANA,,20210852,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,8,,-,2,,2,,6,,,N,,NC,,N,,N,NEVADA,,20210853,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,8,,-,2,,,-,7,,,-,1,,,-,,-,NEW MEXICO,,20210854,POINT (-106.108388 34.421369),616,11
UTAH,2021,8,,-,6,,5,,20,,,-,3,,,-,,-,UTAH,,20210855,POINT (-111.678222 39.323779),900,13
WYOMING,2021,8,,-,1,,,-,3,,,-,1,,,-,,-,WYOMING,,20210856,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,8,5,,21,,56,,109,,,-,2,,,-,,-,,PACIFIC,20210857,,,
ALASKA,2021,8,,-,1,,,-,3,,,-,1,,,-,,-,ALASKA,,20210858,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,8,,-,10,,14,,76,,,-,2,,,-,,-,CALIFORNIA,,20210859,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,8,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20210860,POINT (-157.854309 21.361013),1657,4
OREGON,2021,8,1,,5,,21,,10,,,-,0,,,-,,-,OREGON,,20210861,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,8,4,,11,,21,,20,,,-,0,,,-,,-,WASHINGTON,,20210862,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,8,,-,1,,,-,1,,,-,0,,,-,,-,,US TERRITORIES,20210863,,,
AMERICAN SAMOA,2021,8,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20210864,,,
NORTHERN MARIANA ISLANDS,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210865,POINT (145.725693 15.1834),,
GUAM,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210866,POINT (144.653198 13.3532),,
PUERTO RICO,2021,8,,-,1,,,-,1,,,-,0,,,-,,-,PUERTO RICO,,20210867,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,8,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210868,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,8,,-,1,,,-,1,,,-,0,,,-,,-,,NON-US RESIDENTS,20210869,,,
TOTAL,2021,8,31,,206,,350,,1192,,,-,249,,12,,14,,,TOTAL,20210870,,,
US RESIDENTS,2021,9,35,,206,,412,,1328,,,-,250,,15,,18,,,US RESIDENTS,20210901,,,
NEW ENGLAND,2021,9,4,,20,,32,,66,,,-,5,,,-,1,,,NEW ENGLAND,20210902,,,
CONNECTICUT,2021,9,,-,4,,1,,6,,,-,2,,,-,,-,CONNECTICUT,,20210903,POINT (-72.738288 41.575155),1043,24
MAINE,2021,9,3,,5,,11,,8,,,-,0,,,-,,-,MAINE,,20210904,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,9,,-,6,,11,,31,,,-,4,,,-,1,,MASSACHUSETTS,,20210905,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,9,,-,3,,5,,10,,,-,2,,,-,,-,NEW HAMPSHIRE,,20210906,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,9,1,,2,,3,,5,,,-,1,,,-,,-,RHODE ISLAND,,20210907,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,9,,-,11,,1,,6,,,-,0,,,-,,-,VERMONT,,20210908,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,9,7,,46,,66,,204,,,-,34,,1,,1,,,MIDDLE ATLANTIC,20210909,,,
NEW JERSEY,2021,9,,-,5,,,-,34,,,-,19,,,-,1,,NEW JERSEY,,20210910,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,9,5,,31,,22,,54,,,-,10,,1,,,-,NEW YORK,,20210911,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,9,,-,6,,13,,57,,,-,17,,,-,,-,,NEW YORK CITY,20210912,,,
PENNSYLVANIA,2021,9,2,,13,,31,,59,,,N,,NC,,N,,N,PENNSYLVANIA,,20210913,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,9,2,,61,,66,,259,,,-,112,,10,,6,,,EAST NORTH CENTRAL,20210914,,,
ILLINOIS,2021,9,,-,12,,4,,43,,,-,97,,,-,1,,ILLINOIS,,20210915,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,9,,-,6,,4,,25,,,-,2,,,-,,-,INDIANA,,20210916,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,9,,-,14,,5,,38,,,-,3,,,-,,-,MICHIGAN,,20210917,POINT (-85.730977 44.874798),1262,50
OHIO,2021,9,,-,12,,34,,100,,,-,14,,9,,4,,OHIO,,20210918,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,9,2,,24,,19,,53,,,-,18,,1,,1,,WISCONSIN,,20210919,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,9,3,,31,,27,,131,,,-,122,,1,,1,,,WEST NORTH CENTRAL,20210920,,,
IOWA,2021,9,,-,17,,8,,56,,,-,103,,,-,1,,IOWA,,20210921,POINT (-93.500061 42.074659),299,16
KANSAS,2021,9,2,,4,,5,,8,,,-,6,,,-,,-,KANSAS,,20210922,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20210923,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,9,,-,13,,6,,39,,,-,37,,1,,,-,MISSOURI,,20210924,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,9,1,,5,,3,,15,,,-,30,,,-,,-,NEBRASKA,,20210925,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,9,,-,2,,5,,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20210926,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,9,,-,6,,,-,13,,,-,6,,,-,,-,SOUTH DAKOTA,,20210927,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,9,1,,38,,55,,244,,,-,40,,1,,3,,,SOUTH ATLANTIC,20210928,,,
DELAWARE,2021,9,,-,3,,1,,3,,,-,1,,,-,,-,DELAWARE,,20210929,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,9,,-,1,,,-,6,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20210930,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,9,,-,11,,,-,62,,,-,19,,,-,1,,FLORIDA,,20210931,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,9,1,,21,,25,,48,,,-,18,,,-,,-,GEORGIA,,20210932,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,9,,-,6,,,-,19,,,-,3,,,-,2,,MARYLAND,,20210933,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,9,,-,9,,,-,39,,,-,1,,,-,,-,NORTH CAROLINA,,20210934,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,9,,-,4,,8,,14,,,-,3,,,-,,-,SOUTH CAROLINA,,20210935,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,9,,-,8,,21,,48,,,-,12,,1,,,-,VIRGINIA,,20210936,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,9,,-,5,,,-,5,,,-,1,,,-,,-,WEST VIRGINIA,,20210937,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,9,3,,17,,24,,87,,,-,16,,1,,1,,,EAST SOUTH CENTRAL,20210938,,,
ALABAMA,2021,9,1,,8,,12,,26,,,-,2,,,-,,-,ALABAMA,,20210939,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,9,1,,8,,8,,13,,,-,5,,1,,,-,KENTUCKY,,20210940,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,9,,-,1,,,-,12,,,N,,NC,,N,,N,MISSISSIPPI,,20210941,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,9,1,,8,,4,,36,,,-,11,,,-,1,,TENNESSEE,,20210942,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,9,3,,21,,28,,117,,,-,60,,1,,4,,,WEST SOUTH CENTRAL,20210943,,,
ARKANSAS,2021,9,,-,6,,8,,5,,,-,3,,1,,,-,ARKANSAS,,20210944,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,9,,-,6,,2,,23,,,-,16,,,-,1,,LOUISIANA,,20210945,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,9,2,,5,,8,,15,,,N,,NC,,N,,N,OKLAHOMA,,20210946,POINT (-97.508297 35.583449),712,20
TEXAS,2021,9,1,,15,,10,,74,,,-,53,,,-,3,,TEXAS,,20210947,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,9,4,,16,,42,,106,,,-,9,,,-,,-,,MOUNTAIN,20210948,,,
ARIZONA,2021,9,1,,5,,10,,17,,,-,2,,,-,,-,ARIZONA,,20210949,POINT (-111.664616 34.293239),987,7
COLORADO,2021,9,3,,6,,21,,28,,,-,6,,,-,,-,COLORADO,,20210950,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,9,,-,2,,,-,9,,,N,,NC,,N,,N,IDAHO,,20210951,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,9,,-,3,,3,,11,,,-,1,,,-,,-,MONTANA,,20210952,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,9,,-,2,,2,,6,,,N,,NC,,N,,N,NEVADA,,20210953,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,9,,-,2,,,-,7,,,-,1,,,-,,-,NEW MEXICO,,20210954,POINT (-106.108388 34.421369),616,11
UTAH,2021,9,,-,6,,6,,25,,,-,3,,,-,,-,UTAH,,20210955,POINT (-111.678222 39.323779),900,13
WYOMING,2021,9,,-,1,,,-,3,,,-,1,,,-,,-,WYOMING,,20210956,POINT (-107.55145 42.999627),3084,14
PACIFIC,2021,9,8,,21,,72,,114,,,-,2,,,-,1,,,PACIFIC,20210957,,,
ALASKA,2021,9,,-,1,,,-,3,,,-,1,,,-,,-,ALASKA,,20210958,POINT (-151.631889 63.631126),1671,51
CALIFORNIA,2021,9,3,,10,,20,,77,,,-,2,,,-,1,,CALIFORNIA,,20210959,POINT (-119.662127 37.211164),1196,8
HAWAII,2021,9,,-,1,,,-,,-,,-,0,,,-,,-,HAWAII,,20210960,POINT (-157.854309 21.361013),1657,4
OREGON,2021,9,1,,5,,24,,11,,,-,0,,,-,,-,OREGON,,20210961,POINT (-120.605279 43.940449),719,12
WASHINGTON,2021,9,4,,11,,28,,23,,,-,0,,,-,,-,WASHINGTON,,20210962,POINT (-120.592492 47.411715),2956,6
US TERRITORIES,2021,9,,-,1,,,-,1,,,-,0,,,-,,-,,US TERRITORIES,20210963,,,
AMERICAN SAMOA,2021,9,,N,,NC,,N,,N,,N,,NC,,N,,N,,AMERICAN SAMOA,20210964,,,
NORTHERN MARIANA ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210965,POINT (145.725693 15.1834),,
GUAM,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210966,POINT (144.653198 13.3532),,
PUERTO RICO,2021,9,,-,1,,,-,1,,,-,0,,,-,,-,PUERTO RICO,,20210967,POINT (-66.414655 18.215692),3087,
U.S. VIRGIN ISLANDS,2021,9,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20210968,POINT (-64.840836 18.060868),,
NON-US RESIDENTS,2021,9,,-,1,,,-,1,,,-,0,,,-,,-,,NON-US RESIDENTS,20210969,,,
TOTAL,2021,9,35,,206,,412,,1330,,,-,250,,15,,18,,,TOTAL,20210970,,,
US RESIDENTS,2021,10,29,,208,,557,,1451,,1,,250,,16,,25,,,US RESIDENTS,20211001,,,
NEW ENGLAND,2021,10,3,,20,,35,,69,,,-,5,,,-,1,,,NEW ENGLAND,20211002,,,
CONNECTICUT,2021,10,,-,4,,1,,6,,,-,2,,,-,,-,CONNECTICUT,,20211003,POINT (-72.738288 41.575155),1043,24
MAINE,2021,10,1,,5,,12,,8,,,-,0,,,-,,-,MAINE,,20211004,POINT (-69.06137 45.117911),1725,49
MASSACHUSETTS,2021,10,2,,6,,13,,33,,,-,4,,,-,1,,MASSACHUSETTS,,20211005,POINT (-71.481104 42.151077),1916,25
NEW HAMPSHIRE,2021,10,,-,3,,5,,9,,,-,2,,,-,,-,NEW HAMPSHIRE,,20211006,POINT (-71.57139 43.680429),2405,26
RHODE ISLAND,2021,10,,-,2,,3,,6,,,-,1,,,-,,-,RHODE ISLAND,,20211007,POINT (-71.534637 41.572574),2703,27
VERMONT,2021,10,,-,11,,1,,7,,,-,0,,,-,,-,VERMONT,,20211008,POINT (-72.662695 44.075252),905,28
MIDDLE ATLANTIC,2021,10,9,,46,,86,,215,,,-,34,,1,,2,,,MIDDLE ATLANTIC,20211009,,,
NEW JERSEY,2021,10,,-,5,,,-,34,,,-,19,,,-,1,,NEW JERSEY,,20211010,POINT (-74.655514 40.110253),2447,46
NEW YORK,2021,10,5,,31,,27,,58,,,-,5,,1,,1,,NEW YORK,,20211011,POINT (-75.59655 42.921241),2092,47
NEW YORK CITY,2021,10,,-,5,,22,,63,,,-,17,,,-,,-,,NEW YORK CITY,20211012,,,
PENNSYLVANIA,2021,10,4,,13,,37,,60,,,N,,NC,,N,,N,PENNSYLVANIA,,20211013,POINT (-77.838886 40.896694),2495,48
EAST NORTH CENTRAL,2021,10,4,,61,,83,,287,,1,,112,,11,,8,,,EAST NORTH CENTRAL,20211014,,,
ILLINOIS,2021,10,,-,12,,10,,52,,,-,97,,,-,1,,ILLINOIS,,20211015,POINT (-89.148632 40.124144),1721,34
INDIANA,2021,10,,-,6,,4,,27,,,-,2,,,-,,-,INDIANA,,20211016,POINT (-86.2818 39.919991),1904,35
MICHIGAN,2021,10,,-,14,,5,,43,,,-,4,,,-,,-,MICHIGAN,,20211017,POINT (-85.730977 44.874798),1262,50
OHIO,2021,10,,-,12,,39,,103,,,-,14,,9,,4,,OHIO,,20211018,POINT (-82.70936 40.415534),592,38
WISCONSIN,2021,10,4,,24,,25,,62,,1,,18,,2,,3,,WISCONSIN,,20211019,POINT (-89.732969 44.639954),881,41
WEST NORTH CENTRAL,2021,10,,-,31,,76,,146,,,-,122,,1,,1,,,WEST NORTH CENTRAL,20211020,,,
IOWA,2021,10,,-,17,,19,,62,,,-,103,,,-,1,,IOWA,,20211021,POINT (-93.500061 42.074659),299,16
KANSAS,2021,10,,-,4,,6,,9,,,-,8,,,-,,-,KANSAS,,20211022,POINT (-98.38018 38.484729),1287,17
MINNESOTA,2021,10,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,20211023,POINT (-94.198308 46.349153),1400,1
MISSOURI,2021,10,,-,13,,6,,44,,,-,37,,1,,,-,MISSOURI,,20211024,POINT (-92.477244 38.3675),2124,18
NEBRASKA,2021,10,,-,5,,3,,16,,,-,30,,,-,,-,NEBRASKA,,20211025,POINT (-99.810595 41.527099),2243,19
NORTH DAKOTA,2021,10,,-,2,,6,,,-,,N,,NC,,N,,N,NORTH DAKOTA,,20211026,POINT (-100.46931 47.446305),568,3
SOUTH DAKOTA,2021,10,,-,13,,36,,15,,,-,6,,,-,,-,SOUTH DAKOTA,,20211027,POINT (-100.230491 44.43614),2679,21
SOUTH ATLANTIC,2021,10,3,,38,,66,,265,,,-,40,,1,,3,,,SOUTH ATLANTIC,20211028,,,
DELAWARE,2021,10,1,,3,,2,,3,,,-,1,,,-,,-,DELAWARE,,20211029,POINT (-75.452394 38.994926),1046,43
DISTRICT OF COLUMBIA,2021,10,,-,1,,,-,6,,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,20211030,POINT (-77.016275 38.904785),1049,44
FLORIDA,2021,10,,-,9,,2,,73,,,-,21,,,-,1,,FLORIDA,,20211031,POINT (-82.420978 28.260731),1080,30
GEORGIA,2021,10,1,,21,,27,,52,,,-,18,,,-,,-,GEORGIA,,20211032,POINT (-83.426574 32.638481),1611,31
MARYLAND,2021,10,,-,6,,,-,19,,,-,3,,,-,2,,MARYLAND,,20211033,POINT (-76.687282 38.946466),418,45
NORTH CAROLINA,2021,10,,-,9,,,-,39,,,-,1,,,-,,-,NORTH CAROLINA,,20211034,POINT (-79.130883 35.52603),2390,37
SOUTH CAROLINA,2021,10,,-,4,,9,,16,,,-,3,,,-,,-,SOUTH CAROLINA,,20211035,POINT (-80.864614 33.878572),2581,33
VIRGINIA,2021,10,1,,8,,26,,51,,,-,12,,1,,,-,VIRGINIA,,20211036,POINT (-78.666382 37.510861),2758,40
WEST VIRGINIA,2021,10,,-,5,,,-,6,,,-,1,,,-,,-,WEST VIRGINIA,,20211037,POINT (-80.613729 38.642579),2749,42
EAST SOUTH CENTRAL,2021,10,1,,17,,38,,96,,,-,16,,1,,2,,,EAST SOUTH CENTRAL,20211038,,,
ALABAMA,2021,10,1,,8,,14,,28,,,-,2,,,-,,-,ALABAMA,,20211039,POINT (-86.844516 32.756889),94,29
KENTUCKY,2021,10,,-,8,,9,,15,,,-,5,,1,,,-,KENTUCKY,,20211040,POINT (-85.290484 37.526683),1429,36
MISSISSIPPI,2021,10,,-,1,,,-,13,,,N,,NC,,N,,N,MISSISSIPPI,,20211041,POINT (-89.65344 32.713378),494,32
TENNESSEE,2021,10,,-,8,,15,,40,,,-,11,,,-,2,,TENNESSEE,,20211042,POINT (-86.343226 35.842998),2108,39
WEST SOUTH CENTRAL,2021,10,5,,21,,34,,127,,,-,60,,1,,4,,,WEST SOUTH CENTRAL,20211043,,,
ARKANSAS,2021,10,,-,6,,8,,6,,,-,3,,1,,,-,ARKANSAS,,20211044,POINT (-92.439162 34.899825),998,15
LOUISIANA,2021,10,,-,6,,3,,24,,,-,16,,,-,1,,LOUISIANA,,20211045,POINT (-91.840238 30.921314),1537,22
OKLAHOMA,2021,10,2,,5,,10,,16,,,N,,NC,,N,,N,OKLAHOMA,,20211046,POINT (-97.508297 35.583449),712,20
TEXAS,2021,10,3,,15,,13,,81,,,-,53,,,-,3,,TEXAS,,20211047,POINT (-99.317341 31.447238),3109,23
MOUNTAIN,2021,10,3,,16,,53,,120,,,-,9,,,-,2,,,MOUNTAIN,20211048,,,
ARIZONA,2021,10,1,,5,,13,,19,,,-,2,,,-,,-,ARIZONA,,20211049,POINT (-111.664616 34.293239),987,7
COLORADO,2021,10,1,,7,,22,,35,,,-,6,,,-,1,,COLORADO,,20211050,POINT (-105.547832 38.998552),1062,9
IDAHO,2021,10,,-,2,,,-,10,,,N,,NC,,N,,N,IDAHO,,20211051,POINT (-114.659366 44.389073),1730,5
MONTANA,2021,10,1,,3,,7,,11,,,-,1,,,-,,-,MONTANA,,20211052,POINT (-109.645127 47.033521),2283,2
NEVADA,2021,10,,-,2,,3,,6,,,N,,NC,,N,,N,NEVADA,,20211053,POINT (-114.916992 39.283294),2404,10
NEW MEXICO,2021,10,,-,2,,,-,9,,,-,1,,,-,,-,NEW MEXICO,,20211054,POINT (-106.108388 34.421369),616,11
UTAH,2021,10,,-,6,,7,,27,,,-,3,,,-,1,,UTAH,,20211055,POINT (-111.678222 39.323779),900,13
