month,year,Reporting.Area,average_temp
6,2014,CONNECTICUT,62.6
6,2014,DELAWARE,68.9
6,2014,FLORIDA,78.2
6,2014,GEORGIA,74.8
6,2014,IDAHO,54.2
6,2014,ILLINOIS,68.4
6,2014,INDIANA,67.8
6,2014,IOWA,65.1
6,2014,KANSAS,69.1
6,2014,KENTUCKY,70.1
6,2014,LOUISIANA,75.8
6,2014,MAINE,56.6
6,2014,MARYLAND,68.2
6,2014,MASSACHUSETTS,61.6
6,2014,MICHIGAN,59.9
6,2014,MINNESOTA,59.6
6,2014,MISSISSIPPI,74.7
6,2014,MISSOURI,69.5
6,2014,MONTANA,53.8
6,2014,NEBRASKA,63.3
6,2014,NEVADA,62
6,2014,NEW HAMPSHIRE,58.4
6,2014,NEW JERSEY,66.3
6,2014,NEW MEXICO,66.2
6,2014,NEW YORK,60.8
6,2014,NORTH CAROLINA,71.8
6,2014,NORTH DAKOTA,58.1
6,2014,OHIO,66.2
6,2014,OKLAHOMA,73.1
6,2014,OREGON,55.7
6,2014,PENNSYLVANIA,63.3
6,2014,RHODE ISLAND,62.2
6,2014,SOUTH CAROLINA,75
6,2014,SOUTH DAKOTA,59.9
6,2014,TENNESSEE,71
6,2014,TEXAS,76.3
6,2014,UTAH,61.2
6,2014,VERMONT,58.1
6,2014,VIRGINIA,68.8
6,2014,WASHINGTON,56.3
6,2014,WEST VIRGINIA,65.8
6,2014,WISCONSIN,60.8
6,2014,WYOMING,53.2
7,2014,ALABAMA,77.9
7,2014,ARIZONA,79.6
7,2014,ARKANSAS,76
7,2014,CALIFORNIA,75.2
7,2014,COLORADO,65.4
7,2014,CONNECTICUT,69.4
7,2014,DELAWARE,74.3
7,2014,FLORIDA,81
7,2014,GEORGIA,78.6
7,2014,IDAHO,63
7,2014,ILLINOIS,71.6
7,2014,INDIANA,70.8
7,2014,IOWA,69.5
7,2014,KANSAS,74.5
7,2014,KENTUCKY,73.4
7,2014,LOUISIANA,79.9
7,2014,MAINE,64.4
7,2014,MARYLAND,73.5
7,2014,MASSACHUSETTS,68.6
7,2014,MICHIGAN,65
7,2014,MINNESOTA,65.8
7,2014,MISSISSIPPI,78
7,2014,MISSOURI,73.1
7,2014,MONTANA,62
7,2014,NEBRASKA,69.6
7,2014,NEVADA,71.4
7,2014,NEW HAMPSHIRE,65.4
7,2014,NEW JERSEY,72.4
7,2014,NEW MEXICO,73.3
7,2014,NEW YORK,66.2
7,2014,NORTH CAROLINA,75.4
7,2014,NORTH DAKOTA,64.6
7,2014,OHIO,70
7,2014,OKLAHOMA,77.6
7,2014,OREGON,64
7,2014,PENNSYLVANIA,68.4
7,2014,RHODE ISLAND,69.4
7,2014,SOUTH CAROLINA,78.8
7,2014,SOUTH DAKOTA,66.8
7,2014,TENNESSEE,74.1
7,2014,TEXAS,81.1
7,2014,UTAH,70.3
7,2014,VERMONT,64.6
7,2014,VIRGINIA,72.9
7,2014,WASHINGTON,63.4
7,2014,WEST VIRGINIA,69.8
7,2014,WISCONSIN,66.2
7,2014,WYOMING,61.4
8,2014,ALABAMA,78.6
8,2014,ARIZONA,78.9
8,2014,ARKANSAS,77
8,2014,CALIFORNIA,76.6
8,2014,COLORADO,66.5
8,2014,CONNECTICUT,70.2
8,2014,DELAWARE,74.2
8,2014,FLORIDA,82.4
8,2014,GEORGIA,79
8,2014,IDAHO,66.6
8,2014,ILLINOIS,72
8,2014,INDIANA,70.8
8,2014,IOWA,70
8,2014,KANSAS,76.9
8,2014,KENTUCKY,73.8
8,2014,LOUISIANA,80.6
8,2014,MAINE,65.8
8,2014,MARYLAND,73.2
8,2014,MASSACHUSETTS,69.2
8,2014,MICHIGAN,65.4
8,2014,MINNESOTA,66.9
8,2014,MISSISSIPPI,78.6
8,2014,MISSOURI,74.6
8,2014,MONTANA,66.2
8,2014,NEBRASKA,71.7
8,2014,NEVADA,72.8
8,2014,NEW HAMPSHIRE,65.9
8,2014,NEW JERSEY,72.4
8,2014,NEW MEXICO,72.4
8,2014,NEW YORK,66.4
8,2014,NORTH CAROLINA,75
8,2014,NORTH DAKOTA,66.9
8,2014,OHIO,70.2
